timestamp,timestamp_last_signal,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],channel_count,rc_failsafe,rc_lost,input_source
679991136,679991136,255,0,0,0,2006,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
680495088,680495088,255,0,0,0,1625,1492,1491,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
680991094,680991094,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
681495853,681495853,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
681991177,681991177,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
682487088,682487088,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
682991094,682991094,255,0,0,0,1626,1492,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
683495260,683495260,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
683987485,683987485,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
684491091,684491091,255,0,0,0,1626,1492,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
684995091,684995091,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
685483119,685483119,255,0,0,0,1626,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
685987088,685987088,255,0,0,0,1626,1492,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
686491091,686491091,255,0,0,0,982,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
686995242,686995242,255,0,0,0,982,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
687497984,687497984,255,0,0,0,982,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
687991100,687991100,255,0,0,0,1670,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
688488729,688488729,255,0,0,0,1740,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
688991170,688991170,255,0,0,0,1134,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
689487934,689487934,255,0,0,0,1138,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
689991093,689991093,255,0,0,0,1138,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
690496138,690496138,255,0,0,0,1138,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
690991092,690991092,255,0,0,0,1138,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
691495539,691495539,255,0,0,0,1138,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
691987436,691987436,255,0,0,0,982,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
692484635,692484635,255,0,0,0,982,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
692987088,692987088,255,0,0,0,982,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
693491091,693491091,255,0,0,0,1220,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
693995243,693995243,255,0,0,0,1323,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
694491236,694491236,255,0,0,0,1399,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
694995088,694995088,255,0,0,0,1401,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
695491123,695491123,255,0,0,0,1401,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
695987088,695987088,255,0,0,0,1401,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
696487132,696487132,255,0,0,0,1401,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
696995088,696995088,255,0,0,0,1385,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
697495188,697495188,255,0,0,0,1384,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
697991091,697991091,255,0,0,0,1384,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
698495088,698495088,255,0,0,0,1384,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
698991361,698991361,255,0,0,0,1384,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
699495132,699495132,255,0,0,0,1384,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
699991236,699991236,255,0,0,0,982,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
700498792,700498792,255,0,0,0,982,1492,1491,1490,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
700991091,700991091,255,0,0,0,982,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
701495088,701495088,255,0,0,0,982,1492,1491,1510,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
701988303,701988303,255,0,0,0,982,1493,1491,1513,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
702491088,702491088,255,0,0,0,982,1493,1491,1491,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
702987992,702987992,255,0,0,0,982,1492,1491,1478,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
703490667,703490667,255,0,0,0,982,1493,1491,1478,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
703995088,703995088,255,0,0,0,982,1493,1491,1490,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
704499425,704499425,255,0,0,0,982,1153,982,1410,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
704995404,704995404,255,0,0,0,982,1317,982,1457,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
705489262,705489262,255,0,0,0,982,1489,1247,1536,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
705991099,705991099,255,0,0,0,982,1492,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
706487088,706487088,255,0,0,0,982,1493,1491,1472,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
706991136,706991136,255,0,0,0,982,1338,982,1478,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
707487088,707487088,255,0,0,0,982,1513,982,1465,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
707996606,707996606,255,0,0,0,1003,1492,1488,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
708495357,708495357,255,0,0,0,982,1493,1491,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
708991091,708991091,255,0,0,0,982,1493,1491,1496,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
709495890,709495890,255,0,0,0,982,1493,1491,1495,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
709991225,709991225,255,0,0,0,982,1493,1491,1494,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
710483088,710483088,255,0,0,0,982,1492,1317,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
710987091,710987091,255,0,0,0,982,1490,982,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
711491182,711491182,255,0,0,0,982,1494,1492,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
711995088,711995088,255,0,0,0,982,1492,1479,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
712492825,712492825,255,0,0,0,982,1493,1491,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
712995088,712995088,255,0,0,0,982,1493,1491,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
713491411,713491411,255,0,0,0,982,1493,1491,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
713987088,713987088,255,0,0,0,982,1509,1491,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
714491134,714491134,255,0,0,0,982,1586,1492,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
714995088,714995088,255,0,0,0,982,2006,1335,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
715487088,715487088,255,0,0,0,982,2006,1388,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
715991167,715991167,255,0,0,0,982,1151,1540,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
716487205,716487205,255,0,0,0,982,1195,1492,1497,2006,982,982,1494,982,982,1494,1494,1494,1494,1494,1494,998,998,18,0,0,9
