timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1373348292,inf,0,0,0,0,0,0,0,1,1,1
1374353298,inf,0,0,0,0,0,0,0,0,0,1
1375355996,inf,0,0,0,0,0,0,0,0,1,1
1376366441,inf,0,0,0,0,0,0,0,0,1,1
1377368498,inf,0,0,0,0,0,0,1,0,1,1
1378373438,inf,0,0,0,0,0,0,0,0,0,1
1379386010,inf,0,0,0,0,0,0,0,0,0,1
1380389784,inf,0,0,0,0,0,0,0,0,0,1
1381394820,inf,0,0,0,0,0,0,0,0,0,1
1382407358,inf,0,0,0,0,0,0,0,0,0,1
1383412544,inf,0,0,0,0,0,0,0,0,0,1
1384419877,inf,0,0,0,0,0,0,0,0,0,1
1385428873,inf,0,0,0,0,0,0,0,0,1,1
1386434061,inf,0,0,0,0,0,0,0,0,1,1
1387442677,inf,0,0,0,0,0,0,0,0,0,1
1388451897,inf,0,0,0,0,0,0,0,0,1,1
1389458695,inf,0,0,0,0,0,0,0,0,1,1
1390464030,inf,0,0,0,0,0,0,0,0,1,1
1391468413,inf,0,0,0,0,0,0,0,0,0,1
1392480091,inf,0,0,0,0,0,0,0,0,1,1
1393485690,inf,0,0,0,0,0,0,0,1,1,1
1394495392,inf,0,0,0,0,0,0,0,0,0,1
1395496524,inf,0,0,0,0,0,0,0,0,1,1
1396497635,inf,0,0,0,0,0,0,0,0,1,1
1397505507,inf,0,0,0,0,0,0,0,0,1,1
1398517720,inf,0,0,0,0,0,0,0,0,1,1
1399526681,inf,0,0,0,0,0,0,0,0,0,1
1400526720,inf,0,0,0,0,0,0,0,0,0,1
1401529072,inf,0,0,0,0,0,0,0,0,0,1
1402537640,inf,0,0,0,0,0,0,0,0,0,1
1403542999,inf,0,0,0,0,0,0,0,0,0,1
1403952396,inf,0,0,0,0,1,1,0,1,0,1
1404611727,inf,0,0,0,0,0,0,0,1,0,1
1405615253,inf,0,0,0,0,0,0,0,1,0,1
1406624012,inf,0,0,0,0,0,0,0,1,0,1
1407633412,inf,0,0,0,0,0,0,0,1,0,1
1408641536,inf,0,0,0,0,0,0,0,1,0,1
1409645934,inf,0,0,0,0,0,0,0,1,0,1
1410654217,inf,0,0,0,0,0,0,0,1,0,1
1411662779,inf,0,0,0,0,0,0,0,0,0,1
1412672247,inf,0,0,0,0,0,0,0,0,0,1
1413675307,inf,0,0,0,0,0,0,0,1,0,1
1414684105,inf,0,0,0,0,0,0,0,1,0,1
1415693577,inf,0,0,0,0,0,0,0,1,0,1
1416706572,inf,0,0,0,0,0,0,0,1,0,1
1417706613,inf,0,0,0,0,0,0,0,0,1,1
1418709039,inf,0,0,0,0,0,0,0,0,1,1
1419716861,inf,0,0,0,0,0,0,0,0,1,1
1420721588,inf,0,0,0,0,0,0,0,1,0,1
1420735547,inf,0,0,0,0,1,1,0,1,0,1
1421745591,inf,0,0,0,0,1,1,0,1,0,1
1422748038,inf,0,0,0,0,1,1,0,1,0,1
1423753114,inf,0,0,0,0,1,1,0,1,0,1
1424761908,inf,0,0,0,0,1,1,0,1,0,1
1425765619,inf,0,0,0,0,1,1,0,1,0,1
1426774136,inf,0,0,0,0,1,1,0,1,0,1
1427783036,inf,0,0,0,0,1,1,0,1,0,1
1428792296,inf,0,0,0,0,1,1,0,1,0,1
1429795410,inf,0,0,0,0,1,1,0,1,0,1
1430804966,inf,0,0,0,0,1,1,0,1,0,1
1431813645,inf,0,0,0,0,1,1,0,1,0,1
1432821889,inf,0,0,0,0,1,1,0,1,0,1
1433826010,inf,0,0,0,0,1,1,0,1,0,1
1434834258,inf,0,0,0,0,1,1,0,1,0,1
1435709155,inf,0,1,0,0,1,1,1,0,0,1
1436068325,inf,0,1,1,0,1,1,1,0,0,1
1436408256,inf,0,1,1,1,1,1,1,0,0,1
1437416307,inf,0,1,1,1,1,1,1,0,0,1
1438425814,inf,0,1,1,1,1,1,1,0,0,1
