timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
655090575,inf,1,0,0,0,0
656107571,inf,1,0,0,0,0
657119586,inf,1,0,0,0,0
658136557,inf,1,0,0,0,0
659136569,inf,1,0,0,0,0
660154515,inf,1,0,0,0,0
661156204,inf,1,0,0,0,0
662167590,inf,1,0,0,0,0
663180551,inf,1,0,0,0,0
664194516,inf,1,0,0,0,0
665212656,inf,1,0,0,0,0
666228569,inf,1,0,0,0,0
667246510,inf,1,0,0,0,0
668257609,inf,1,0,0,0,0
669272639,inf,1,0,0,0,0
670286042,inf,1,0,0,0,0
671298594,inf,1,0,0,0,0
672312568,inf,1,0,0,0,0
673313597,inf,1,0,0,0,0
674327573,inf,1,0,0,0,0
675344563,inf,1,0,0,0,0
676346509,inf,1,0,0,0,0
677359046,inf,1,0,0,0,0
678372559,inf,1,0,0,0,0
679385592,inf,1,0,0,0,0
680389757,inf,1,0,0,0,0
681390511,inf,1,0,0,0,0
682404119,inf,1,0,0,0,0
683420562,inf,1,0,0,0,0
684422119,inf,1,0,0,0,0
685434528,inf,1,0,0,0,0
686455061,inf,1,0,0,0,0
687464563,inf,1,0,0,0,0
688477596,inf,1,0,0,0,0
689491578,inf,1,0,0,0,0
690500579,inf,1,0,0,0,0
691517595,inf,1,0,0,0,0
692532620,inf,1,0,0,0,0
693546512,inf,1,0,0,0,0
694558536,inf,1,0,0,0,0
695565598,inf,1,0,0,0,0
696583571,inf,1,0,0,0,0
697584559,inf,1,0,0,0,0
698600565,inf,1,0,0,0,0
699612559,inf,1,0,0,0,0
700616781,inf,1,0,0,0,0
701629750,inf,1,0,0,0,0
702630512,inf,1,0,0,0,0
703630561,inf,1,0,0,0,0
704649866,inf,1,0,0,0,0
705663049,inf,1,0,0,0,0
706663572,inf,1,0,0,0,0
707681600,inf,1,0,0,0,0
708699583,inf,1,0,0,0,0
709718511,inf,1,0,0,0,0
710733598,inf,1,0,0,0,0
711749595,inf,1,0,0,0,0
712764564,inf,1,0,0,0,0
713780559,inf,1,0,0,0,0
714792559,inf,1,0,0,0,0
715808559,inf,1,0,0,0,0
716828998,inf,1,0,0,0,0
717841597,inf,1,0,0,0,0
718842515,inf,1,0,0,0,0
719857596,inf,1,0,0,0,0
720869596,inf,1,0,0,0,0
721889850,inf,1,0,0,0,0
722901726,inf,1,0,0,0,0
723919579,inf,1,0,0,0,0
724934509,inf,1,0,0,0,0
725953839,inf,1,0,0,0,0
726971356,inf,1,0,0,0,0
727987578,inf,1,0,0,0,0
729002513,inf,1,0,0,0,0
730020172,inf,1,0,0,0,0
731034518,inf,1,0,0,0,0
732050835,inf,1,0,0,0,0
733065568,inf,1,0,0,0,0
734084559,inf,1,0,0,0,0
735102509,inf,1,0,0,0,0
736114522,inf,1,0,0,0,0
737131585,inf,1,0,0,0,0
738146523,inf,1,0,0,0,0
739159575,inf,1,0,0,0,0
740159860,inf,1,0,0,0,0
741177583,inf,1,0,0,0,0
742190518,inf,1,0,0,0,0
743207053,inf,1,0,0,0,0
744225591,inf,1,0,0,0,0
745241608,inf,1,0,0,0,0
746260133,inf,1,0,0,0,0
747261843,inf,1,0,0,0,0
748275573,inf,1,0,0,0,0
749292555,inf,1,0,0,0,0
750312559,inf,1,0,0,0,0
751324551,inf,1,0,0,0,0
752324552,inf,1,0,0,0,0
753343052,inf,1,0,0,0,0
754360564,inf,1,0,0,0,0
755373596,inf,1,0,0,0,0
756392559,inf,1,0,0,0,0
