timestamp,speed_xy,speed_up,speed_down,want_takeoff
970204363,12.0,3.0,1.0,0
971196873,12.0,3.0,1.0,0
972210456,12.0,3.0,1.0,0
973205682,12.0,3.0,1.0,0
974204599,12.0,3.0,1.0,0
975193372,12.0,3.0,1.0,0
976205266,12.0,3.0,1.0,0
977209153,12.0,3.0,1.0,0
978204287,12.0,3.0,1.0,0
979186535,12.0,3.0,1.0,0
980192453,12.0,3.0,1.0,0
981205494,12.0,3.0,1.0,0
982204529,12.0,3.0,1.0,0
983192985,12.0,3.0,1.0,0
984206728,12.0,3.0,1.0,0
985205646,12.0,3.0,1.0,0
986207716,12.0,3.0,1.0,0
987196677,12.0,3.0,1.0,0
988205212,12.0,3.0,1.0,0
989205347,12.0,3.0,1.0,0
990204419,12.0,3.0,1.0,0
991192905,12.0,3.0,1.0,0
992191836,12.0,3.0,1.0,1
993205267,12.0,3.0,1.0,1
994194321,12.0,3.0,1.0,1
995208515,12.0,3.0,1.0,0
996206469,12.0,3.0,1.0,0
997205232,12.0,3.0,1.0,0
998193956,12.0,3.0,1.0,0
999193290,12.0,3.0,1.0,0
1000206665,12.0,3.0,1.0,0
1001205126,12.0,3.0,1.0,0
1002207456,12.0,3.0,1.0,0
1003196260,12.0,3.0,1.0,0
1004206284,12.0,3.0,1.0,0
1005205014,12.0,3.0,1.0,0
1006197301,12.0,3.0,1.0,0
1007196327,12.0,3.0,1.0,0
1008209665,12.0,3.0,1.0,0
1009204926,12.0,3.0,1.0,0
1010193735,12.0,3.0,1.0,0
1011207349,12.0,3.0,1.0,0
1012206096,12.0,3.0,1.0,0
1013205027,12.0,3.0,1.0,0
1014197015,12.0,3.0,1.0,0
1015192416,12.0,3.0,1.0,0
1016194616,12.0,3.0,1.0,0
1017189708,12.0,3.0,1.0,0
1018208396,12.0,3.0,1.0,0
1019207329,12.0,3.0,1.0,0
1020205821,12.0,3.0,1.0,1
1021204622,12.0,3.0,1.0,1
1022193270,12.0,3.0,1.0,1
1023206995,12.0,3.0,1.0,1
1024205692,12.0,3.0,1.0,1
1025204448,12.0,3.0,1.0,1
1026193453,12.0,3.0,1.0,1
1027192556,12.0,3.0,1.0,0
1028205571,12.0,3.0,1.0,0
1029204302,12.0,3.0,1.0,0
1030193091,12.0,3.0,1.0,0
1031206741,12.0,3.0,1.0,0
1032205633,12.0,3.0,1.0,0
1033194498,12.0,3.0,1.0,0
1034193099,12.0,3.0,1.0,0
1035191671,12.0,3.0,1.0,0
1036205388,12.0,3.0,1.0,0
1037204394,12.0,3.0,1.0,1
1038192858,12.0,3.0,1.0,1
1039206585,12.0,3.0,1.0,1
1040205442,12.0,3.0,1.0,1
1041207527,12.0,3.0,1.0,1
1042196413,12.0,3.0,1.0,1
1043206482,12.0,3.0,1.0,1
1044205250,12.0,3.0,1.0,1
1045197673,12.0,3.0,1.0,0
1046192690,12.0,3.0,1.0,0
1047206408,12.0,3.0,1.0,0
1048205271,12.0,3.0,1.0,0
1049194151,12.0,3.0,1.0,0
1050192907,12.0,3.0,1.0,0
1051206666,12.0,3.0,1.0,0
1052205054,12.0,3.0,1.0,0
1053207562,12.0,3.0,1.0,0
1054185986,12.0,3.0,1.0,0
1055206241,12.0,3.0,1.0,0
1056205141,12.0,3.0,1.0,0
1057187413,12.0,3.0,1.0,0
1058195955,12.0,3.0,1.0,0
1059206186,12.0,3.0,1.0,0
1060208613,12.0,3.0,1.0,0
1061207315,12.0,3.0,1.0,0
1062195895,12.0,3.0,1.0,0
1063204651,12.0,3.0,1.0,0
1064204828,12.0,3.0,1.0,0
1065207160,12.0,3.0,1.0,0
1066210969,12.0,3.0,1.0,0
1067206035,12.0,3.0,1.0,0
1068208527,12.0,3.0,1.0,0
1069187150,12.0,3.0,1.0,0
1070205811,12.0,3.0,1.0,0
1071194590,12.0,3.0,1.0,1
1072204716,12.0,3.0,1.0,1
1073193473,12.0,3.0,1.0,1
1074192164,12.0,3.0,1.0,1
1075205907,12.0,3.0,1.0,1
1076204904,12.0,3.0,1.0,0
1077193335,12.0,3.0,1.0,0
1078192082,12.0,3.0,1.0,0
1079190822,12.0,3.0,1.0,0
1080204533,12.0,3.0,1.0,0
1081206910,12.0,3.0,1.0,0
1082185645,12.0,3.0,1.0,0
1083205730,12.0,3.0,1.0,0
1084208143,12.0,3.0,1.0,0
1085186805,12.0,3.0,1.0,0
1086195492,12.0,3.0,1.0,0
1087209490,12.0,3.0,1.0,1
1088204395,12.0,3.0,1.0,1
1089206778,12.0,3.0,1.0,1
1090191899,12.0,3.0,1.0,1
1091209303,12.0,3.0,1.0,1
1092204326,12.0,3.0,1.0,1
1093206548,12.0,3.0,1.0,1
1094210484,12.0,3.0,1.0,1
1095205876,12.0,3.0,1.0,1
1096184579,12.0,3.0,1.0,1
1097193237,12.0,3.0,1.0,1
1098205170,12.0,3.0,1.0,1
1099209101,12.0,3.0,1.0,1
1100197996,12.0,3.0,1.0,1
1101206444,12.0,3.0,1.0,0
1102191747,12.0,3.0,1.0,0
1103205636,12.0,3.0,1.0,0
1104204461,12.0,3.0,1.0,0
1105193077,12.0,3.0,1.0,0
1106191689,12.0,3.0,1.0,0
1107205996,5.0,3.0,1.0,0
1108184442,5.0,3.0,1.0,0
1109208644,5.0,3.0,1.0,0
1110207283,5.0,3.0,1.0,0
1111206117,5.0,3.0,1.0,0
1112184443,5.0,3.0,1.0,0
1113193215,5.0,3.0,1.0,0
1114192244,5.0,3.0,1.0,0
1115205594,5.0,3.0,1.0,0
1116204445,5.0,3.0,1.0,0
1117192996,5.0,3.0,1.0,0
1118191942,5.0,3.0,1.0,0
