timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
801545251,-0.039848823,-0.02600086,-2.3581872,0.0,-0.38141534,0.019618308,-0.013450615,0.9240977,0.0,0.0,-0.40958714,0,0,0,0,0
801595437,-0.042383008,-0.024609704,-2.3581872,0.0,-0.3814072,0.019458957,-0.014887161,0.9240824,0.0,0.0,-0.4057227,0,0,0,0,0
801645341,-0.025335522,-0.027593708,-2.3581872,0.0,-0.38153422,0.017585944,-0.0064403466,0.924165,0.0,0.0,-0.39582178,0,0,0,0,0
801697101,-0.039274834,-0.034524687,-2.3581872,0.0,-0.38131893,0.023446267,-0.0115576945,0.9240739,0.0,0.0,-0.3925042,0,0,0,0,0
801745234,-0.034367517,-0.029972645,-2.3581872,0.0,-0.3814255,0.020407759,-0.010159543,0.9241184,0.0,0.0,-0.38510787,0,0,0,0,0
801795768,-0.030547846,-0.030541724,-2.3581872,0.0,-0.38145813,0.019942166,-0.008285948,0.92413384,0.0,0.0,-0.38156673,0,0,0,0,0
801845194,-0.038002674,-0.034422558,-2.3581872,0.0,-0.38133505,0.023156539,-0.010989411,0.9240815,0.0,0.0,-0.37454084,0,0,0,0,0
801896756,-0.04238922,-0.03322715,-2.3581872,0.0,-0.3812989,0.023440706,-0.013244442,0.9240597,0.0,0.0,-0.37042615,0,0,0,0,0
801944811,-0.040619045,-0.031974554,-2.3581872,0.0,-0.38133514,0.022524623,-0.012665769,0.9240756,0.0,0.0,-0.36331683,0,0,0,0,0
801995593,-0.035025444,-0.035954013,-2.3581872,0.0,-0.38135156,0.023296274,-0.009321342,0.92408943,0.0,0.0,-0.35845208,0,0,0,0,0
802044731,-0.030183613,-0.040807914,-2.3581872,0.0,-0.38135523,0.024615185,-0.0061572837,0.92408025,0.0,0.0,-0.352633,0,0,0,0,0
802095451,-0.032807387,-0.047051877,-2.3581872,0.0,-0.3812491,0.027999468,-0.00617712,0.9240276,0.0,0.0,-0.34876913,0,0,0,0,0
802144587,-0.038479537,-0.05367477,-2.3581872,0.0,-0.3810775,0.032139093,-0.007532668,0.9239536,0.0,0.0,-0.3430094,0,0,0,0,0
802195113,-0.044141605,-0.053142257,-2.3581872,0.0,-0.38099307,0.032971922,-0.010250109,0.9239329,0.0,0.0,-0.33623204,0,0,0,0,0
802244495,-0.042879593,-0.04970512,-2.3581872,0.0,-0.3810648,0.031144356,-0.010323695,0.92396593,0.0,0.0,-0.3295549,0,0,0,0,0
802296414,-0.039307356,-0.05435838,-2.3581872,0.0,-0.38105443,0.032612495,-0.0077845175,0.9239445,0.0,0.0,-0.32095608,0,0,0,0,0
802344565,-0.03297865,-0.055419438,-2.3581872,0.0,-0.38114205,0.031896546,-0.004658142,0.9239543,0.0,0.0,-0.31446585,0,0,0,0,0
802395042,-0.02971917,-0.05426346,-2.3581872,0.0,-0.38120756,0.030741477,-0.0033730955,0.9239721,0.0,0.0,-0.30518532,0,0,0,0,0
802444563,-0.032694943,-0.06513323,-2.3581872,0.0,-0.3810174,0.03632796,-0.0026717759,0.92385006,0.0,0.0,-0.30263698,0,0,0,0,0
802494562,-0.04588534,-0.07116422,-2.3581872,0.0,-0.3806664,0.041623883,-0.0076122335,0.9237438,0.0,0.0,-0.30893996,0,0,0,0,0
802544261,-0.0560246,-0.08244423,-2.3581872,0.0,-0.38022196,0.048757803,-0.010138843,0.9235535,0.0,0.0,-0.3128067,0,0,0,0,0
802594813,-0.035755977,-0.087002486,-2.3581872,0.0,-0.3806221,0.047005698,9.18601e-05,0.9235352,0.0,0.0,-0.31847277,0,0,0,0,0
802654717,-0.062432725,-0.09151981,-2.3581872,0.0,-0.37985772,0.054161545,-0.011362343,0.9233881,0.0,0.0,-0.3246599,0,0,0,0,0
