timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1336393072,1336392757,0.037826408,0.00039308285,-0.00036543558,0.1972356,0.0,0.0,0.0,-1.0
1336441753,1336441451,0.045395214,-0.0035675867,0.0032077988,0.2110982,0.0,0.0,0.0,-1.0
1336494208,1336493906,0.046506345,0.027435955,-0.0036446752,0.22057185,0.0,0.0,0.0,-1.0
1336542890,1336542584,0.051821083,0.011876884,-0.011193496,0.2338836,0.0,0.0,0.0,-1.0
1336591589,1336591288,0.038998198,0.027350994,0.0018029604,0.24427734,0.0,0.0,0.0,-1.0
1336644020,1336643718,0.05084534,0.01012679,0.0061183358,0.26210722,0.0,0.0,0.0,-1.0
1336693962,1336693661,0.05635558,-0.0026933253,-0.0020587102,0.27379844,0.0,0.0,0.0,-1.0
1336742672,1336742355,-0.02162463,-0.012818349,-0.0056514745,0.2863831,0.0,0.0,0.0,-1.0
1336795107,1336794795,-0.002609524,-0.010014466,0.0005868729,0.30154094,0.0,0.0,0.0,-1.0
1336843791,1336843489,0.026786217,-0.035256553,-0.0046395306,0.31417212,0.0,0.0,0.0,-1.0
1336892486,1336892183,0.0032265745,-0.026246447,0.002123145,0.3251025,0.0,0.0,0.0,-1.0
1336942447,1336942126,-0.026821822,-0.031099543,0.006474161,0.33646345,0.0,0.0,0.0,-1.0
1336994869,1336994565,0.005507458,-0.04563579,0.004027846,0.34771308,0.0,0.0,0.0,-1.0
1337043562,1337043260,0.019160837,-0.0021873561,0.016194586,0.35682154,0.0,0.0,0.0,-1.0
1337092256,1337091954,-0.013159338,-0.0521253,0.00073768466,0.36428294,0.0,0.0,0.0,-1.0
1337144695,1337144394,-0.0035786643,-0.009440562,-0.0023321162,0.37093213,0.0,0.0,0.0,-1.0
1337194637,1337194336,-0.0145841865,-0.00031189137,0.0090472745,0.37541905,0.0,0.0,0.0,-1.0
1337243332,1337243030,0.0062676077,-0.045873843,0.0094954325,0.38297683,0.0,0.0,0.0,-1.0
1337292030,1337291724,0.037191913,-0.02344011,-0.0023121175,0.38770565,0.0,0.0,0.0,-1.0
1337344472,1337344164,-0.040558614,-0.07325339,-0.004990655,0.3887537,0.0,0.0,0.0,-1.0
1337393162,1337392861,-0.019730952,-0.02881134,-0.0056678182,0.37869114,0.0,0.0,0.0,-1.0
1337443129,1337442800,-0.0136921285,-0.04604355,-0.008649898,0.37021318,0.0,0.0,0.0,-1.0
1337496791,1337496489,0.037994407,0.0092669595,-0.0011083604,0.3649042,0.0,0.0,0.0,-1.0
1337544236,1337543935,-0.0027365708,-0.01845245,-0.0006894144,0.36390567,0.0,0.0,0.0,-1.0
1337592938,1337592628,-0.025639074,-0.030754408,-0.0046633156,0.3641698,0.0,0.0,0.0,-1.0
1337641626,1337641322,-0.0064512263,-0.01790956,-0.004026425,0.3642401,0.0,0.0,0.0,-1.0
1337694068,1337693762,0.0065775192,-0.030537944,-0.0032697704,0.3636875,0.0,0.0,0.0,-1.0
1337744007,1337743705,0.0133175915,-0.023011234,-0.0042042756,0.36410287,0.0,0.0,0.0,-1.0
1337792701,1337792399,0.010353768,-0.023054987,-0.0011658148,0.36376452,0.0,0.0,0.0,-1.0
1337845142,1337844839,0.010358533,0.012685389,-0.0016187627,0.36386424,0.0,0.0,0.0,-1.0
1337893837,1337893536,0.0038882352,-0.008990041,0.00069069205,0.3638998,0.0,0.0,0.0,-1.0
1337942563,1337942233,-0.027393116,-0.046856802,-0.0028805959,0.36498442,0.0,0.0,0.0,-1.0
1337992474,1337992169,-0.025697095,-0.022026598,-0.002967727,0.3660125,0.0,0.0,0.0,-1.0
1338046170,1338045866,0.013840559,-0.01744318,0.0017857144,0.36472195,0.0,0.0,0.0,-1.0
1338093605,1338093303,0.0053136824,-0.019207282,-0.0036457712,0.36283454,0.0,0.0,0.0,-1.0
1338142299,1338141997,0.011517088,-0.0059667514,-0.0008036027,0.3625726,0.0,0.0,0.0,-1.0
1338195995,1338195693,0.0055102636,-0.006446906,-0.00055348786,0.36165383,0.0,0.0,0.0,-1.0
1338243448,1338243139,0.010153139,-0.01983638,0.004819917,0.36121827,0.0,0.0,0.0,-1.0
1338293386,1338293074,0.014344213,-0.032971717,0.0073474636,0.361116,0.0,0.0,0.0,-1.0
1338342110,1338341768,0.01345517,-0.032143682,0.009228249,0.3613314,0.0,0.0,0.0,-1.0
1338395758,1338395456,0.01758252,-0.0074603697,0.011515755,0.35986093,0.0,0.0,0.0,-1.0
1338443207,1338442902,0.0117941955,-0.0055095553,0.008363031,0.35951656,0.0,0.0,0.0,-1.0
1338491905,1338491596,0.0051930775,-0.013261651,0.009335593,0.35815716,0.0,0.0,0.0,-1.0
1338545606,1338545285,-0.008336125,-0.034069475,0.0065369797,0.36090782,0.0,0.0,0.0,-1.0
1338594284,1338593982,0.02884438,-0.019648278,0.007159173,0.36009252,0.0,0.0,0.0,-1.0
1338642974,1338642672,0.04576977,-0.0055964575,0.011302509,0.35895795,0.0,0.0,0.0,-1.0
1338691676,1338691367,-0.003120273,-0.06306854,0.013616784,0.35929054,0.0,0.0,0.0,-1.0
1338745381,1338745067,0.028054481,-0.010409383,0.011798933,0.36157703,0.0,0.0,0.0,-1.0
1338794061,1338793749,2.004837e-05,-0.05468763,0.00868281,0.36105397,0.0,0.0,0.0,-1.0
1338842745,1338842443,0.026542762,-0.0041648825,0.0028437402,0.35817295,0.0,0.0,0.0,-1.0
1338895185,1338894883,0.015110428,-0.016323237,0.044985242,0.35525197,0.0,0.0,0.0,-1.0
1338945136,1338944826,0.020270823,-0.0049638497,-0.0013728119,0.35461298,0.0,0.0,0.0,-1.0
1338992572,1338992271,0.011914277,-0.014290602,0.004927221,0.35596347,0.0,0.0,0.0,-1.0
1339042515,1339042214,0.0063352883,-0.013440767,0.0033757095,0.35568243,0.0,0.0,0.0,-1.0
1339096209,1339095902,0.018227488,-0.029798573,-7.9748126e-05,0.3543968,0.0,0.0,0.0,-1.0
1339144900,1339144596,0.021034906,-0.037165195,-0.0022546742,0.3547716,0.0,0.0,0.0,-1.0
1339192343,1339192042,0.0051124385,-0.023852836,-0.008807235,0.35468233,0.0,0.0,0.0,-1.0
1339244784,1339244481,0.012044617,-0.035825603,-0.008538909,0.35454917,0.0,0.0,0.0,-1.0
1339294726,1339294424,0.009159974,-0.022093022,-0.009757452,0.35383627,0.0,0.0,0.0,-1.0
1339344684,1339344366,0.033197775,-0.0039259335,-0.009045283,0.35440186,0.0,0.0,0.0,-1.0
1339392114,1339391812,-0.0045670588,-0.04313608,-0.008567085,0.35575387,0.0,0.0,0.0,-1.0
1339444560,1339444252,0.012312593,0.003265919,-0.0034727054,0.34120247,0.0,0.0,0.0,-1.0
1339494496,1339494194,-0.0051430776,-0.027268969,-0.006747932,0.32325247,0.0,0.0,0.0,-1.0
1339541946,1339541640,0.014682136,-0.022398021,-0.010561119,0.30460915,0.0,0.0,0.0,-1.0
1339595646,1339595328,0.011860064,-0.03466279,-0.0138066085,0.29011035,0.0,0.0,0.0,-1.0
1339644329,1339644022,0.01026744,-0.026552841,-0.011801861,0.26619792,0.0,0.0,0.0,-1.0
1339694275,1339693965,-0.014103971,-0.020691888,-0.009109056,0.25172752,0.0,0.0,0.0,-1.0
1339741712,1339741410,0.0058021825,-0.0055318917,-0.011057328,0.23149353,0.0,0.0,0.0,-1.0
1339794168,1339793865,0.0029821782,-0.012696349,-0.0134731205,0.22291362,0.0,0.0,0.0,-1.0
1339844107,1339843792,-0.0062123435,-0.044340614,-0.014638303,0.22865024,0.0,0.0,0.0,-1.0
1339895286,1339894984,-0.00014894252,-0.0635705,-0.0146296155,0.24257249,0.0,0.0,0.0,-1.0
1339945229,1339944926,-0.00074042653,-0.04399077,-0.005538048,0.25698054,0.0,0.0,0.0,-1.0
1339993936,1339993620,-0.000921145,-0.03145578,-0.00022859854,0.27330393,0.0,0.0,0.0,-1.0
1340043894,1340043574,0.0016091596,-0.018508857,-0.008438933,0.28814682,0.0,0.0,0.0,-1.0
1340092570,1340092257,0.012431287,-0.0033512723,-0.014396919,0.30275506,0.0,0.0,0.0,-1.0
1340144998,1340144697,-0.0100589385,-0.015373554,-0.009515817,0.31725532,0.0,0.0,0.0,-1.0
1340193698,1340193391,0.023794778,-0.030342821,-0.007581039,0.33529276,0.0,0.0,0.0,-1.0
1340242394,1340242085,-0.001983721,-0.019460568,-0.008164325,0.34000364,0.0,0.0,0.0,-1.0
1340294830,1340294524,0.0070391065,-0.04993353,-0.00839939,0.34036592,0.0,0.0,0.0,-1.0
1340343531,1340343219,0.027014775,-0.00033234034,-0.013445156,0.3390456,0.0,0.0,0.0,-1.0
1340393471,1340393161,0.0067128586,0.020135734,-0.009801447,0.33714125,0.0,0.0,0.0,-1.0
1340442172,1340441862,-0.029992152,-0.045614153,-0.013887717,0.3346834,0.0,0.0,0.0,-1.0
1340494596,1340494295,-0.013997092,-0.02472486,-0.015043104,0.3348421,0.0,0.0,0.0,-1.0
1340543292,1340542989,-0.01194246,-0.00986408,-0.01315542,0.33477294,0.0,0.0,0.0,-1.0
1340591984,1340591683,-0.024539083,-0.057163887,-0.014587845,0.3347534,0.0,0.0,0.0,-1.0
1340644432,1340644123,-0.014082325,-0.062098533,-0.02058893,0.33619028,0.0,0.0,0.0,-1.0
1340694384,1340694066,-0.012332916,-0.015657466,-0.022527216,0.3359388,0.0,0.0,0.0,-1.0
1340743063,1340742760,-0.019823026,-0.006888801,-0.009482799,0.33501005,0.0,0.0,0.0,-1.0
1340791755,1340791454,-0.0060197306,-0.06837411,-0.017954096,0.33486766,0.0,0.0,0.0,-1.0
1340844195,1340843894,-0.021660438,-0.069418095,-0.014763459,0.3383973,0.0,0.0,0.0,-1.0
1340892898,1340892587,-0.0023936816,-0.015935782,-0.0096842535,0.3397309,0.0,0.0,0.0,-1.0
1340942833,1340942530,0.002822203,0.0021077434,-0.007453427,0.33964428,0.0,0.0,0.0,-1.0
1340995279,1340994970,0.0077574165,-0.02283522,-0.0037581248,0.3405069,0.0,0.0,0.0,-1.0
1341043969,1341043664,-0.018442167,-0.042508475,-0.0032145192,0.34096065,0.0,0.0,0.0,-1.0
1341092672,1341092358,0.015347198,0.013994053,-0.0031562261,0.34233573,0.0,0.0,0.0,-1.0
1341142615,1341142301,0.016127814,0.015291974,0.0041397503,0.34050646,0.0,0.0,0.0,-1.0
1341195057,1341194744,0.027503146,-5.8586866e-05,0.0047664125,0.34065217,0.0,0.0,0.0,-1.0
1341243741,1341243435,-0.013326206,-0.060206033,0.00053223094,0.34203625,0.0,0.0,0.0,-1.0
1341292438,1341292129,-0.0011110432,-0.024383571,0.00810179,0.3432996,0.0,0.0,0.0,-1.0
1341344872,1341344569,-0.012457398,-0.0059857634,0.010315933,0.343545,0.0,0.0,0.0,-1.0
1341393564,1341393263,0.004096901,-0.047676094,0.0052460944,0.34459728,0.0,0.0,0.0,-1.0
1341443507,1341443206,0.009576316,0.0034178952,-0.0005350986,0.3436037,0.0,0.0,0.0,-1.0
1341492204,1341491901,-0.0040629213,-0.009651515,0.0035799493,0.34146065,0.0,0.0,0.0,-1.0
1341544645,1341544339,0.0054027485,-0.02461397,0.0050981403,0.33987617,0.0,0.0,0.0,-1.0
1341593335,1341593034,-0.014963483,-0.045074556,0.0025430392,0.34256157,0.0,0.0,0.0,-1.0
1341642031,1341641728,0.018299669,0.0076109935,0.0046998775,0.34197164,0.0,0.0,0.0,-1.0
1341694486,1341694168,0.015393272,-0.013821471,0.0054866145,0.3412216,0.0,0.0,0.0,-1.0
1341744419,1341744110,0.0017709128,-0.04044335,-0.0023249565,0.3415111,0.0,0.0,0.0,-1.0
1341793114,1341792804,0.0020099203,-0.0077279974,-0.004367591,0.3408827,0.0,0.0,0.0,-1.0
1341841802,1341841499,-0.01839585,-0.03440073,0.0029646398,0.3408215,0.0,0.0,0.0,-1.0
1341894240,1341893938,-0.011592161,-0.05657475,0.00059227756,0.3434674,0.0,0.0,0.0,-1.0
1341942943,1341942632,0.0032138333,0.00037280095,-0.003515616,0.34419808,0.0,0.0,0.0,-1.0
