timestamp,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
276120982,-0.72689086,3.52313,-2.5045562,-1.2660472,-0.056745477,1.1892529,2.4859142,-0.036997426,0.03968721,0.07717076,0.02615026,-0.04794328,-0.09362103,-0.1063967,-0.04026108,0.019153155,-0.013449077,0.19422308,0.21870479,0.21697511,0.1916172,0.17847984
276321443,2.941,3.7360072,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
276521901,-0.75807625,3.8006854,-2.5125494,-1.2559307,0.0006641306,1.2572933,2.5139682,0.0113798,0.0060875798,-0.00485354,-0.006323263,0.0037094746,-0.04025026,-0.030465653,-0.032475233,-0.04350182,-0.048307043,0.1999966,0.20001616,0.20001343,0.19999203,0.1999817
276722366,-1.0549767,3.5904725,-2.5130494,-1.2567613,-0.00059502095,1.2560999,2.5132444,0.07950453,0.01187118,-0.06940439,-0.052006885,0.040027093,-0.024672344,0.03881027,-0.0058923997,-0.097006634,-0.10861538,0.2000251,0.20022003,0.20011091,0.19984841,0.19979554
276922830,-0.953387,3.6373787,-2.5102274,-1.2541797,0.0015199934,1.2581668,2.515748,0.04362878,0.018755246,-0.020517513,-0.019941155,0.019720044,-0.07971568,-0.046504505,-0.05988088,-0.10137911,-0.11364879,0.20000607,0.20041564,0.20025066,0.19973925,0.1995884
277123294,-0.9544347,3.637513,-2.5114608,-1.2554115,0.00028949196,1.2569356,2.5145152,0.04362878,0.018755246,-0.020517513,-0.019941155,0.019720044,-0.07971568,-0.046504505,-0.05988088,-0.10137911,-0.11364879,0.20000607,0.20041564,0.20025066,0.19973925,0.1995884
277323751,-1.1984079,3.5468736,-2.5104222,-1.2549483,0.00042551453,1.2574443,2.5155828,-0.010234749,-0.02614958,-0.04011557,-0.032847457,-0.014352355,0.028820872,0.038320534,0.026139662,0.009069605,0.010725609,0.2001673,0.20065704,0.2002382,0.19949052,0.19944693
277524237,-1.2008883,3.546895,-2.5128887,-1.2574139,-0.0020386346,1.2549797,2.5131168,-0.010234749,-0.02614958,-0.04011557,-0.032847457,-0.014352355,0.028820872,0.038320534,0.026139662,0.009069605,0.010725609,0.2001673,0.20065704,0.2002382,0.19949052,0.19944693
277724673,-1.2399917,3.542906,-2.5182538,-1.2629888,-0.007770226,1.2493608,2.507725,-0.009280513,-0.0052984655,0.012200947,0.019071765,0.00577302,0.031536352,0.014429287,0.012906004,0.029097602,0.040628456,0.20021625,0.20075479,0.2002494,0.19939993,0.19937958
277925135,-1.1949251,3.543686,-2.5139678,-1.2590092,-0.004218377,1.2529542,2.511773,-0.011520129,-0.0077855475,0.046542116,0.07652196,0.040578194,0.06265199,0.0067216735,-0.00708599,0.040366717,0.083537,0.20023552,0.20095132,0.20035104,0.1992666,0.19919553
278120585,-1.3135587,3.5308018,-2.517205,-1.263751,-0.010085968,1.2478943,2.5083425,-0.0056486353,-0.11007827,0.005294293,0.18161568,0.17486699,0.14146161,-0.014067143,-0.16163006,-0.097515784,0.09019158,0.20059173,0.20166111,0.20043035,0.19860877,0.19870804
278321050,-1.111526,3.5299885,-2.5152233,-1.2637398,-0.013528375,1.2442756,2.5080824,0.12950851,-0.027807258,0.005621493,0.18440439,0.26122332,0.14468357,0.057848334,-0.118731685,-0.14171976,0.021686867,0.20049398,0.20311216,0.20141356,0.19777133,0.19720902
278521514,-1.3274527,3.5146127,-2.5156338,-1.2645181,-0.012921366,1.246141,2.5093024,0.07484508,0.1450358,0.18673053,0.14240178,0.07275532,-0.044814024,-0.06551726,-0.0054493956,0.05319018,0.028758023,0.20104049,0.20283958,0.2007009,0.1976056,0.19781348
278721969,-1.1461723,3.4657247,-2.5040956,-1.2585021,-0.014886891,1.2447109,2.5162845,-0.20492914,0.16550216,0.14998454,-0.23273605,-0.45332003,-0.28481174,-0.14593211,0.24950877,0.35800993,0.025616786,0.20127767,0.20657405,0.20271347,0.19515114,0.19428362
278922431,-0.86399084,3.2847662,-2.457394,-1.2327114,-0.03397316,1.2181828,2.530846,-0.5146713,0.19661152,0.1536771,-0.5938542,-1.0138259,-0.6039684,-0.31796587,0.44645062,0.6477303,-0.010104114,0.19726422,0.22641727,0.21807152,0.18497182,0.1732751
279122892,-0.7033883,3.404723,-2.477623,-1.2456442,-0.05443635,1.1869779,2.498093,-0.4798289,-0.3699026,-0.13949355,-0.08657953,-0.30566326,0.16739345,-0.04157664,-0.01295431,0.22251333,0.34488285,0.19139262,0.22606316,0.2240499,0.18842399,0.17007028
279323354,-0.7384032,3.3967242,-2.5024717,-1.2710354,-0.07916628,1.1630642,2.473868,0.01764179,0.06343885,0.042970967,-0.01797553,-0.03630261,0.017790817,0.05789873,0.11289047,0.11327447,0.05184315,0.1917424,0.22611977,0.2237058,0.18819134,0.17024067
279523815,-0.73326755,3.3967595,-2.4973488,-1.2659097,-0.07403787,1.1681899,2.478991,0.01764179,0.06343885,0.042970967,-0.01797553,-0.03630261,0.017790817,0.05789873,0.11289047,0.11327447,0.05184315,0.1917424,0.22611977,0.2237058,0.18819134,0.17024067
279649104,-0.72108656,3.4059365,-2.4949772,-1.2629037,-0.070916764,1.1704829,2.481096,0.07365972,0.09028114,0.05284501,0.009000136,0.021050805,-0.094179094,-0.046404824,-0.015270993,-0.04004965,-0.09190787,0.19145708,0.2259897,0.22392908,0.18843162,0.17019254
