timestamp,flag_armed,flag_external_manual_override_ok,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
290828017,1,0,0,1,0,0,1,1,0,0,0,0,0,0
291328929,1,0,0,1,0,0,1,1,0,0,0,0,0,0
291828975,1,0,0,1,0,0,1,1,0,0,0,0,0,0
292329296,1,0,0,1,0,0,1,1,0,0,0,0,0,0
292837973,1,0,0,1,0,0,1,1,0,0,0,0,0,0
293338002,1,0,0,1,0,0,1,1,0,0,0,0,0,0
293847416,1,0,0,1,0,0,1,1,0,0,0,0,0,0
294357936,1,0,0,1,0,0,1,1,0,0,0,0,0,0
294866477,1,0,0,1,0,0,1,1,0,0,0,0,0,0
295374280,1,0,0,1,0,0,1,1,0,0,0,0,0,0
295706035,1,0,1,1,0,0,1,1,0,1,1,1,1,0
295795982,1,0,1,0,1,0,1,1,0,1,1,1,1,0
296307059,1,0,1,0,1,0,1,1,0,1,1,1,1,0
296817931,1,0,1,0,1,0,1,1,0,1,1,1,1,0
297318011,1,0,1,0,1,0,1,1,0,1,1,1,1,0
297819933,1,0,1,0,1,0,1,1,0,1,1,1,1,0
298329927,1,0,1,0,1,0,1,1,0,1,1,1,1,0
298830984,1,0,1,0,1,0,1,1,0,1,1,1,1,0
299342331,1,0,1,0,1,0,1,1,0,1,1,1,1,0
299853154,1,0,1,0,1,0,1,1,0,1,1,1,1,0
300362927,1,0,1,0,1,0,1,1,0,1,1,1,1,0
300873218,1,0,1,0,1,0,1,1,0,1,1,1,1,0
301384305,1,0,1,0,1,0,1,1,0,1,1,1,1,0
301892157,1,0,1,0,1,0,1,1,0,1,1,1,1,0
302403680,1,0,1,0,1,0,1,1,0,1,1,1,1,0
302903759,1,0,1,0,1,0,1,1,0,1,1,1,1,0
303404245,1,0,1,0,1,0,1,1,0,1,1,1,1,0
303915094,1,0,1,0,1,0,1,1,0,1,1,1,1,0
304425932,1,0,1,0,1,0,1,1,0,1,1,1,1,0
304936930,1,0,1,0,1,0,1,1,0,1,1,1,1,0
305436967,1,0,1,0,1,0,1,1,0,1,1,1,1,0
305946971,1,0,1,0,1,0,1,1,0,1,1,1,1,0
306457073,1,0,1,0,1,0,1,1,0,1,1,1,1,0
306957996,1,0,1,0,1,0,1,1,0,1,1,1,1,0
307324297,0,0,1,0,1,0,1,1,0,1,1,1,1,0
307830974,0,0,1,0,1,0,1,1,0,1,1,1,1,0
