timestamp,lat,lon,alt,vy,vx,vz,est_cap
1394854506,-23.5560092,-46.7301894,724.8097,0.40418845,0.58372223,0.0,0
1395343435,-23.5560092,-46.7301894,724.8097,0.40418845,0.58372223,0.0,0
1395792556,-23.5560059,-46.7301846,724.6626,0.17644861,-0.6773964,0.0,0
1396384416,-23.5560059,-46.7301846,724.6626,0.17644861,-0.6773964,0.0,0
1396798416,-23.556006699999998,-46.7301797,723.68066,0.31545383,-0.2618948,0.0,0
1397343013,-23.556006699999998,-46.7301797,723.68066,0.31545383,-0.2618948,0.0,0
1397770517,-23.5560112,-46.7301772,723.22595,0.0,0.0,0.0,0
1398309823,-23.5560112,-46.7301772,723.22595,0.0,0.0,0.0,0
1398864664,-23.5560169,-46.7301785,723.7511,0.0,0.0,0.0,0
1399391215,-23.5560169,-46.7301785,723.7511,0.0,0.0,0.0,0
1399843430,-23.556019799999998,-46.7301789,723.8152,0.0,0.0,0.0,0
1400346833,-23.556019799999998,-46.7301789,723.8152,0.0,0.0,0.0,0
1400850804,-23.5560212,-46.730179199999995,723.8972,0.0,0.0,0.0,0
1401100602,-23.5560212,-46.730179199999995,723.8972,0.0,0.0,0.0,0
