timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1351246294,20000.0,1.0,1769.8461,0.0,58806,0,2137.3987,14821,117,0,0,0,0.007894204,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1352249263,20000.0,1.0,2013.1228,0.0,58850,0,2161.8364,14843,117,0,0,0,0.007882504,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1353337999,20000.0,1.0,1770.5304,0.0,58898,0,1928.3993,14864,118,0,0,0,0.007938644,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1354249041,20000.0,1.0,1953.537,0.0,58937,0,1710.8368,14881,123,0,0,0,0.0082655735,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1355250499,20000.0,1.0,1768.7384,0.0,58982,0,1926.4475,14902,124,0,0,0,0.008321031,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1356250677,20000.0,1.0,1960.1503,0.0,59024,0,2135.8054,14924,124,0,0,0,0.008308765,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1357244469,20000.0,1.0,1768.756,0.0,59067,0,2240.8901,14946,124,0,0,0,0.008296534,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1358243123,20000.0,1.0,1960.6729,0.0,59109,0,2136.3748,14968,124,0,0,0,0.00828434,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1359247677,20000.0,1.0,1771.4631,0.0,59156,0,2139.3518,14990,124,0,0,0,0.008272181,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1360250775,20000.0,1.0,1963.8174,0.0,59198,0,2139.801,15012,124,0,0,0,0.008260058,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1361761685,20000.0,1.0,1768.3413,0.0,59264,0,1716.4487,15043,128,0,0,0,0.008508941,0,0,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362278996,20000.0,1.0,2013.8163,0.0,59288,0,2036.7799,15051,130,0,0,0,0.0086373,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1363248720,20000.0,1.0,1771.2631,0.0,59332,0,2034.1537,15073,131,0,0,0,0.008691037,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1364259983,20000.0,1.0,1949.2693,0.0,59374,0,2019.7368,15093,132,0,0,0,0.0087457765,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1365326197,20000.0,1.0,1771.497,0.0,59422,0,2034.4224,15114,134,0,0,0,0.0088659525,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1366242619,20000.0,1.0,1960.0798,0.0,59459,0,1821.3573,15133,136,0,0,0,0.0089869825,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1367244126,20000.0,1.0,1771.7715,0.0,59504,0,2139.724,15155,136,0,0,0,0.008973936,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1368260222,20000.0,1.0,1952.692,0.0,59548,0,2127.6787,15177,136,0,0,0,0.008960928,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1369243029,20000.0,1.0,1763.1964,0.0,59591,0,2129.3682,15199,136,0,0,0,0.008947957,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1370254662,20000.0,1.0,1960.2207,0.0,59635,0,2135.882,15221,136,0,0,0,0.008935024,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1371248113,20000.0,1.0,1762.1705,0.0,59680,0,2128.1292,15244,136,0,0,0,0.008921543,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1372252178,20000.0,1.0,2013.8163,0.0,59724,0,2231.4722,15265,136,0,0,0,0.008909269,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1373509991,20000.0,1.0,1769.6835,0.0,59781,0,1727.7383,15284,140,0,0,0,0.009159906,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1374250540,20000.0,1.0,1988.8922,0.0,59811,0,1924.0912,15305,141,0,0,0,0.0092126755,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
