timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1248515432,1248513620,-23.555988482325546,-46.7301524969504,727.4189,731.68823,-0.0,1.0369625,1.5420946,nan,2,0,0,0
1248724760,1248723390,-23.55598846051087,-46.730152796907284,727.47906,731.7684,-0.0,1.0372283,1.5420895,nan,2,0,0,0
1248924372,1248923147,-23.555988830874018,-46.73015324032848,727.53156,731.8408,-0.0,1.0373201,1.5419161,nan,2,0,0,0
1249124152,1249122917,-23.555989689646527,-46.73015393021703,727.57196,731.9012,-0.0,1.0374143,1.5423533,nan,2,0,0,0
1249323977,1249322687,-23.55599087320622,-46.73015477667331,727.60077,731.95,-0.0,1.0375116,1.5421759,nan,2,0,0,0
1249523758,1249522457,-23.555992336847567,-46.7301557768764,727.6254,731.9944,-0.0,1.0376024,1.542001,nan,2,0,0,0
1249723909,1249722226,-23.555994159184735,-46.73015696778824,727.6516,732.0408,-0.0,1.0376948,1.5418265,nan,2,0,0,0
1249913362,1249912007,-23.555996302978148,-46.730158272813824,727.66943,732.07837,-0.0,1.037594,1.5420963,nan,2,0,0,0
1250123057,1250121765,-23.555999212752873,-46.73015990959861,727.68646,732.1154,-0.0,1.0378864,1.542088,nan,2,0,0,0
1250317762,1250316540,-23.556002422279178,-46.73016154505502,727.6993,732.1478,-0.0,1.0377891,1.5417491,nan,2,0,0,0
1250517531,1250516309,-23.55600600526674,-46.73016328331355,727.7128,732.1808,-0.0,1.0378824,1.5421865,nan,2,0,0,0
1250717301,1250716079,-23.556009582963064,-46.73016499788681,727.7282,732.2139,-0.0,1.0379796,1.5420159,nan,2,0,0,0
1250920558,1250915850,-23.556012740105373,-46.73016651353189,727.74475,732.2465,-0.0,1.0380893,1.5418475,nan,2,0,0,0
1251117288,1251115623,-23.556015363627317,-46.73016778133418,727.76184,732.2799,-0.0,1.0381514,1.5416757,nan,2,0,0,0
1251316714,1251315396,-23.556017513461363,-46.730168810023066,727.7813,732.3147,-0.0,1.0382063,1.5421124,nan,2,0,0,0
1251516370,1251515157,-23.55601924982676,-46.73016962237638,727.8003,732.3474,-0.0,1.0382289,1.5419403,nan,2,0,0,0
1251716141,1251714926,-23.556020253307988,-46.730170040269485,727.81476,732.37476,-0.0,1.0382457,1.5417706,nan,2,0,0,0
1251915921,1251914696,-23.556020261477254,-46.73016989699242,727.8233,732.3945,-0.0,1.038256,1.5422071,nan,2,0,0,0
1252115753,1252114466,-23.556019437097994,-46.73016934715746,727.8324,732.4127,-0.0,1.038261,1.5420319,nan,2,0,0,0
1252315471,1252314235,-23.556017884434805,-46.730168443052094,727.85126,732.4397,-0.0,1.0382599,1.5418564,nan,2,0,0,0
1252515752,1252514006,-23.556015827750187,-46.73016727348607,727.87994,732.474,-0.0,1.0382394,1.5416809,nan,2,46,0,0
1252718594,1252713774,-23.556013486948064,-46.73016600108532,727.9056,732.50525,-0.0,1.0382302,1.542115,nan,2,0,0,0
1252924905,1252923532,-23.55601095719516,-46.73016466971203,727.9414,732.5451,-0.0,1.038447,1.5421082,nan,2,0,0,0
1253124718,1253123302,-23.556008862117945,-46.730163565593145,727.98175,732.5873,-0.0,1.0384364,1.5419352,nan,2,0,0,0
1253324874,1253323082,-23.55600717519161,-46.730162690281745,728.0196,732.6263,-0.0,1.0384327,1.5417631,nan,2,0,0,0
1253527748,1253522843,-23.55600583629804,-46.730161990199186,728.05273,732.6586,-0.0,1.0384188,1.5422002,nan,2,0,0,0
1253724023,1253722610,-23.556004695481924,-46.730161372578095,728.0759,732.68,-0.0,1.0383782,1.542027,nan,2,0,0,0
1253923664,1253922387,-23.556003586568373,-46.73016070454085,728.104,732.7044,-0.0,1.0383346,1.5418544,nan,2,0,0,0
1254113562,1254112160,-23.556002838395372,-46.730160148451375,728.1339,732.72986,-0.0,1.0380911,1.5421258,nan,2,0,0,0
1254323147,1254321918,-23.55600232356103,-46.73015974159431,728.1658,732.7565,-0.0,1.0382643,1.5421219,nan,2,0,0,0
1254522969,1254521686,-23.556001875112255,-46.7301593216011,728.19507,732.78,-0.0,1.0382131,1.5419487,nan,2,0,0,0
1254722905,1254721456,-23.556001471390424,-46.73015894326664,728.22943,732.8085,-0.0,1.0381596,1.5417762,nan,2,0,0,0
1254922578,1254921224,-23.556001414954856,-46.730158763439356,728.3202,732.8911,-0.0,1.0381109,1.5422132,nan,2,0,0,0
1255117335,1255115999,-23.55600149977047,-46.73015871923575,728.4342,732.9973,-0.0,1.0378735,1.5418749,nan,2,0,0,0
1255317488,1255315768,-23.556001566419187,-46.73015881147912,728.50275,733.058,-0.0,1.0378623,1.5417082,nan,2,0,0,0
1255517360,1255515537,-23.55600146353953,-46.730159185013605,728.54755,733.09436,-0.0,1.0378082,1.5421478,nan,2,0,0,0
1255717016,1255715306,-23.556001329948597,-46.73015980323759,728.5978,733.135,-0.0,1.0377595,1.5419801,nan,2,0,0,0
1255916299,1255915085,-23.556001172377975,-46.730160541768996,728.646,733.1728,-0.0,1.0377095,1.5418147,nan,2,0,0,0
1256116262,1256114845,-23.556001120954615,-46.73016112884135,728.7,733.2156,-0.0,1.0376575,1.5416495,nan,2,0,0,0
1256315833,1256314612,-23.556001224919026,-46.73016127682464,728.7477,733.25165,-0.0,1.0376236,1.5420905,nan,2,0,0,0
1256515681,1256514388,-23.55600156524459,-46.730160699445484,728.79614,733.2873,-0.0,1.0375949,1.5419238,nan,2,0,0,0
1256715463,1256714152,-23.556002283152075,-46.73015911203047,728.8553,733.3305,-0.0,1.0375726,1.5417551,nan,2,0,0,0
1256915635,1256913918,-23.556003296975515,-46.73015678654253,728.90497,733.36334,-0.0,1.0375532,1.5415875,nan,2,0,0,0
1257114912,1257113687,-23.556004255139534,-46.73015428347745,728.95984,733.4004,-0.0,1.0375388,1.5420257,nan,2,0,0,0
1257324854,1257323448,-23.556005226837385,-46.730151776356394,729.01917,733.4406,-0.0,1.0377252,1.5420226,nan,2,0,0,0
1257524633,1257523214,-23.556005864102108,-46.73014970980264,729.0613,733.4638,-0.0,1.0377059,1.5418528,nan,2,0,0,0
1257728088,1257722982,-23.556006186797344,-46.73014824486546,729.1067,733.4888,-0.0,1.0376697,1.5416836,nan,2,0,0,0
1257924043,1257922751,-23.556006105642997,-46.73014784552633,729.14667,733.5094,-0.0,1.0376275,1.5421232,nan,2,0,0,0
1258113923,1258112532,-23.55600550485655,-46.7301486468615,729.1805,733.5233,-0.0,1.0373863,1.5417851,nan,2,0,0,0
1258317476,1258312301,-23.55600432310584,-46.73015093040539,729.2091,733.53125,-0.0,1.0373225,1.5416151,nan,2,0,0,0
1258526935,1258522058,-23.556002458024544,-46.73015467621968,729.23535,733.53815,-0.0,1.0374473,1.542216,nan,2,0,0,0
1258723055,1258721826,-23.55600053242496,-46.7301587177711,729.2589,733.5418,-0.0,1.037393,1.542041,nan,2,0,0,0
1258922822,1258921594,-23.55599873374667,-46.730162600411106,729.29266,733.5552,-0.0,1.0373393,1.5418671,nan,2,0,0,0
1259122795,1259121363,-23.555997365898786,-46.73016635945038,729.3329,733.5754,-0.0,1.0373082,1.541693,nan,2,0,0,0
1259322427,1259321131,-23.555996764060023,-46.730170338895306,729.37744,733.60016,-0.0,1.037272,1.5421287,nan,2,0,0,0
1259522186,1259520900,-23.55599711064284,-46.7301745402103,729.40924,733.6122,-0.0,1.0373145,1.5419577,nan,2,0,0,0
1259717094,1259715674,-23.55599857132794,-46.7301786906747,729.4405,733.6233,-0.0,1.0372063,1.5416194,nan,2,0,0,0
1259916660,1259915442,-23.55600144338615,-46.73018280772416,729.4677,733.63055,-0.0,1.03732,1.542056,nan,2,0,0,0
1260116442,1260115210,-23.556005296904065,-46.73018661111058,729.4999,733.64276,-0.0,1.0374256,1.5418863,nan,2,0,0,0
1260316265,1260314978,-23.556009374375925,-46.730189792717916,729.53937,733.6623,-0.0,1.0375032,1.5417168,nan,2,0,0,0
1260516170,1260514746,-23.556013189746043,-46.73019228114819,729.57947,733.68207,-0.0,1.0375578,1.5415485,nan,2,0,0,0
1260715735,1260714514,-23.556016684332004,-46.73019374003445,729.62775,733.71075,-0.0,1.0376244,1.5419844,nan,2,0,0,0
1260915592,1260914282,-23.55602006496151,-46.73019376685181,729.68866,733.75165,-0.0,1.0376484,1.541813,nan,2,0,0,0
1261115499,1261114050,-23.55602359349528,-46.73019236776609,729.7556,733.79803,-0.0,1.0376791,1.5416433,nan,2,0,0,0
1261318743,1261313818,-23.556027192033092,-46.73018957597314,729.807,733.82904,-0.0,1.0377401,1.5420785,nan,2,0,0,0
1261528657,1261523574,-23.556030820015735,-46.73018611797698,729.86365,733.86566,-0.0,1.0380204,1.542071,nan,2,0,0,0
1261728308,1261723342,-23.556033798605814,-46.73018320756467,729.9262,733.90826,-0.0,1.0380949,1.5419005,nan,2,0,0,0
1261928182,1261923110,-23.556036217917814,-46.730180559772755,729.9939,733.956,-0.0,1.0381722,1.5417293,nan,2,0,0,0
1262127812,1262122877,-23.55603820795367,-46.730178256543475,730.0573,733.9998,-0.0,1.038255,1.5421671,nan,2,0,0,0
1262313987,1262312656,-23.55603968965637,-46.73017645014995,730.1056,734.02814,-0.0,1.0381134,1.5418295,nan,2,0,0,0
1262513773,1262512424,-23.556040847131438,-46.73017464631047,730.15393,734.0565,-0.0,1.0381716,1.5416608,nan,2,0,0,0
1262723619,1262722179,-23.556041461643524,-46.73017263992636,730.2069,734.0895,-0.0,1.038433,1.5416573,nan,2,0,0,0
1262923168,1262921946,-23.55604187394924,-46.73017098753622,730.25684,734.11975,-0.0,1.0384961,1.5420952,nan,2,0,0,0
1263123008,1263121719,-23.55604224504416,-46.73016985327702,730.2937,734.13635,-0.0,1.0385513,1.5419259,nan,2,0,0,0
1263322704,1263321481,-23.556042539970143,-46.730169093731305,730.31464,734.1376,-0.0,1.0385962,1.5417571,nan,2,0,0,0
1263522928,1263521248,-23.556042748883414,-46.73016865767823,730.3319,734.1348,-0.0,1.0386323,1.541589,nan,2,0,0,0
