timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
42637031,-0.00873001,0.0023344085,-0.0023944578,5013,0,-0.29629275,0.3231874,-9.715743,5013,0
42642041,-0.008756243,0.0021426098,-0.0010116714,5010,0,-0.28776354,0.33292824,-9.688017,5010,0
42647052,-0.008940396,0.0010764586,-0.0008093073,5011,0,-0.29519597,0.36028773,-9.690343,5011,0
42652063,-0.00858048,0.0034662571,-0.0018090653,5011,0,-0.3066491,0.32493618,-9.707773,5011,0
42657072,-0.00805004,0.0018755754,-0.0019891765,5009,0,-0.29867077,0.34169427,-9.701061,5009,0
42662082,-0.0088567315,0.002390501,-0.0026949241,5010,0,-0.29420578,0.31300706,-9.680374,5010,0
42667092,-0.010922584,0.0024965815,-0.0023465147,5010,0,-0.30244634,0.31417277,-9.707629,5010,0
42672103,-0.007828961,0.003211935,-0.0026150972,5011,0,-0.3127017,0.32200474,-9.707321,5011,0
42677112,-0.0082502905,0.0033290999,-0.0022790127,5009,0,-0.2966694,0.3377719,-9.690292,5009,0
42682123,-0.010135826,0.0025512206,-0.00076125393,5011,0,-0.30714795,0.33419222,-9.704629,5011,0
42687133,-0.009270639,0.0028577433,-0.0025366715,5010,0,-0.29424676,0.33233148,-9.673526,5010,0
42692143,-0.0074010966,0.0016260226,-0.0031534103,5010,0,-0.2888872,0.32961744,-9.690162,5010,0
42697156,-0.00861685,0.0032473418,-0.0025398785,5013,0,-0.2860687,0.3126599,-9.677353,5013,0
42702164,-0.009845213,0.0037201461,-0.0012308458,5008,0,-0.32365745,0.30936003,-9.705799,5008,0
42707179,-0.008985542,0.0028803821,-0.0027201069,5015,0,-0.29379302,0.32391334,-9.699093,5015,0
42712184,-0.009500284,0.0019155779,-0.001793982,5005,0,-0.29221478,0.34358191,-9.710834,5005,0
42717194,-0.0089036925,0.0030137228,-0.002009433,5010,0,-0.3170718,0.3406725,-9.697342,5010,0
42722205,-0.008342016,0.0029844192,-0.0027781,5011,0,-0.29815674,0.32477215,-9.702059,5011,0
42727215,-0.008717685,0.0008515515,-0.0032269468,5010,0,-0.29027793,0.34278807,-9.70615,5010,0
42732226,-0.008866376,0.0032874697,-0.0013887659,5011,0,-0.27585778,0.34208992,-9.696688,5011,0
42737243,-0.0073926,0.0008254159,-0.002343313,5017,0,-0.27166316,0.34920233,-9.712947,5017,0
42742246,-0.008156313,0.0016414486,-0.0018250404,5003,0,-0.29138574,0.33055866,-9.6948,5003,0
