timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
1333464870,-0.03533064,0.025684983,-0.01841587,4991,0,0.14847845,0.20373558,-9.667135,4991,0
1333469868,0.01006003,-0.019280246,-0.015441174,4998,0,-0.13160163,0.7290051,-9.415884,4998,0
1333474867,0.023223156,0.028770825,0.005145975,4999,0,0.9011,0.39305964,-9.772331,4999,0
1333479857,0.011208165,-0.029417172,-0.009204788,4990,0,-0.10585861,0.4514979,-10.091113,4990,0
1333484851,-0.037201945,0.0080054505,-0.0059216134,4994,0,-0.61372834,0.10747069,-9.879331,4994,0
1333489846,-0.020966418,0.011506676,-0.015116832,4995,0,0.29838243,0.45947692,-9.772085,4995,0
1333494835,0.0146616595,0.0013962229,0.016523117,4989,0,0.25418064,0.21992144,-9.694189,4989,0
1333499830,0.0054907515,0.003267159,0.018814703,4995,0,0.99013275,0.4435698,-9.999657,4995,0
1333504824,0.0045400327,-0.005477712,0.011494054,4994,0,-0.5199551,0.51277727,-9.996967,4994,0
1333509818,-0.044709012,0.015108287,0.0043455055,4994,0,-0.17117853,0.11804943,-9.797463,4994,0
1333514812,0.010031128,-0.0019427899,0.009528045,4994,0,0.340431,0.54029244,-9.350792,4994,0
1333519807,0.014700241,0.008403628,0.028570479,4995,0,0.7820715,0.041941103,-9.73873,4995,0
1333524801,0.011491355,-0.0120477425,0.010299384,4994,0,0.16100897,0.4856929,-10.414341,4994,0
1333529795,-0.014772627,0.012106465,0.00024387082,4994,0,-0.55977106,0.014801842,-9.828546,4994,0
1333534790,-0.033545982,0.014747027,-0.011131019,4995,0,0.18048173,0.43792626,-9.526327,4995,0
1333539784,0.021389715,-0.0028963957,0.006387517,4994,0,0.5195155,0.45574757,-9.565975,4994,0
1333544778,0.018179609,-0.00514941,0.0027275004,4994,0,0.32163817,0.27568495,-10.120159,4994,0
1333549772,-0.0184487,-0.0033847168,-0.007223829,4994,0,-0.15794724,0.40834776,-9.910687,4994,0
1333554767,-0.022726996,0.01772816,-0.018174257,4995,0,-0.67932034,0.27961886,-10.058705,4995,0
1333559761,-0.004944546,0.004359205,-0.0031458621,4994,0,0.69033974,0.51689595,-9.228363,4994,0
1333564755,0.026763104,-0.0075229225,0.00591087,4994,0,0.5962691,0.46735793,-10.2528925,4994,0
1333569749,-0.007443241,0.00073820044,0.004354484,4994,0,-0.061672326,0.23121084,-9.829695,4994,0
1333574744,-0.01657715,0.016981801,-0.009451234,4995,0,-0.25095633,0.46667603,-10.117741,4995,0
1333579738,-0.024849998,0.0029018896,-0.003638891,4994,0,-0.16793667,0.38033238,-9.324692,4994,0
1333584732,0.01517228,0.007801079,0.015763337,4994,0,1.1789873,0.27578202,-9.658374,4994,0
1333589727,0.017346982,-0.022664465,0.014461095,4995,0,-0.055210005,0.45500755,-10.227005,4995,0
1333594721,-0.011860971,0.008215299,0.006244845,4994,0,-0.34160078,-0.1042208,-9.530915,4994,0
1333599715,-0.025717111,0.014046756,-0.011275406,4994,0,-0.24238983,0.6277369,-10.33009,4994,0
1333604709,-0.0023812721,-0.0024056803,0.015754461,4994,0,0.5314439,-0.08730655,-9.037406,4994,0
1333609714,0.0045813248,-0.008692614,0.015650008,5005,0,0.8986838,0.63506615,-10.391818,5005,0
1333614698,0.022292724,-0.0002835146,0.007758946,4984,0,-0.3125546,0.2544744,-9.884918,4984,0
1333619692,-0.032611445,0.01680911,-0.013191925,4994,0,-0.29243,0.30211368,-10.09461,4994,0
1333624693,-0.018821254,0.00814662,-0.0027112165,5001,0,0.056885146,0.38259178,-9.391418,5001,0
1333629681,0.018018017,0.0016418695,0.012986463,4988,0,1.1028459,0.2728779,-9.74031,4988,0
1333634679,0.007927046,-0.026669677,0.002850912,4998,0,-0.0867121,0.58334714,-9.906998,4998,0
1333639669,-0.013437305,0.025952976,-0.0056946254,4990,0,-0.46239787,0.09842791,-9.863893,4990,0
1333649673,0.00088395295,-0.0032507486,0.012101093,5009,0,0.7630408,0.06618987,-9.677269,5009,0
1333654651,0.017220771,-0.016948374,0.011510466,4978,0,0.68632954,0.55757153,-10.223648,4978,0
1333659649,-0.0007621299,0.00079747045,0.009260905,4998,0,-0.63232464,0.2079329,-9.756654,4998,0
1333664639,-0.02425095,0.019025765,-0.011619012,4990,0,-0.2587531,0.53063077,-10.186266,4990,0
1333669633,-0.015898125,0.00068655115,0.008561248,4994,0,0.34219933,0.23655258,-9.156295,4994,0
1333674628,0.0163611,-0.00090446067,0.0097183855,4995,0,0.9157384,0.61577475,-10.166107,4995,0
1333679622,0.002266798,-0.010467731,0.005248938,4994,0,-0.13547474,0.21005055,-9.759874,4994,0
1333684617,-0.015217074,0.020789009,-0.004929622,4995,0,-0.5730175,0.4455621,-9.973362,4995,0
1333689615,-0.014794593,0.008522819,-0.00546371,4998,0,0.33024022,0.2804229,-9.3811455,4998,0
1333694605,0.0021225053,-0.009123385,0.0161344,4990,0,0.73889405,0.18524648,-9.968857,4990,0
1333699604,0.020195737,-0.017655948,0.007354604,4999,0,0.51720655,0.42997915,-10.118668,4999,0
1333704594,-0.00871014,0.010919679,0.0042970907,4990,0,-0.80813545,0.13196826,-9.746123,4990,0
1333709588,-0.03027983,0.028262911,-0.008421499,4994,0,-0.057118036,0.21624221,-10.053747,4994,0
1333714582,0.0171189,-0.010397053,0.0097783515,4994,0,0.76510024,0.4813977,-9.163611,4994,0
1333719576,-0.0063872514,-0.003101495,0.009206995,4994,0,0.46136588,0.30764604,-10.425869,4994,0
1333724570,0.01670543,-0.003038453,-0.0023661377,4994,0,-0.2860667,0.38700464,-9.610519,4994,0
1333729565,-0.046817765,0.03402934,-0.009699123,4995,0,-0.6581894,0.14541447,-10.28201,4995,0
1333734559,0.004014351,-0.0034863863,-0.0032737188,4994,0,0.7636573,0.43869868,-9.051077,4994,0
1333739553,0.0059219743,-0.012949779,0.007514591,4994,0,0.8852666,0.43693683,-10.200862,4994,0
1333744551,0.008818875,-0.0027999287,-0.0031862387,4998,0,-0.10228458,0.21774296,-10.007909,4998,0
1333749542,-0.013921319,0.010424187,-0.0025148143,4991,0,-0.68379503,0.30455506,-9.907907,4991,0
1333754536,-0.017406173,0.019869233,-0.007909394,4994,0,0.096550845,0.3673529,-9.601187,4994,0
1333759530,0.013825471,-0.015148377,0.010706414,4994,0,1.2578307,0.3478266,-9.482065,4994,0
1333764541,0.004180232,-0.014045575,0.0015289562,5011,0,-0.08108427,0.54409826,-10.311593,5011,0
1333769519,-0.0052542756,0.0076778918,0.0028361878,4978,0,-0.50713694,0.19274554,-9.607162,4978,0
1333774513,-0.028638199,0.030874588,-0.0034939044,4994,0,-0.4289858,0.3027346,-10.188723,4994,0
1333779508,0.013634339,-0.012840872,0.011181139,4995,0,1.056217,0.5882042,-9.063382,4995,0
1333784502,0.005893516,-0.00013158009,0.008714203,4994,0,0.75062275,0.3243637,-10.440327,4994,0
1333789503,0.005814338,-0.011207761,0.007319019,5001,0,-0.73681396,0.47053793,-9.6521435,5001,0
1333794491,-0.023622775,0.046963137,-0.00095579075,4988,0,-0.23158221,0.03844468,-10.302028,4988,0
1333799485,-0.02278011,-0.015030708,0.005541303,4994,0,0.44244385,0.53268003,-9.325563,4994,0
1333804479,0.028820967,-0.010963129,0.005936265,4994,0,1.0941647,0.23314932,-9.890527,4994,0
