timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
32937922,0.5057234,-0.016396264,-0.0056092236,0.8625216,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
32988036,0.50568086,-0.016406983,-0.005615152,0.86254644,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33038147,0.5056328,-0.016410206,-0.0056298748,0.8625744,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33088261,0.5055802,-0.016408345,-0.005637833,0.86260515,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33138375,0.50552994,-0.01641332,-0.0056069116,0.8626348,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33188486,0.5054707,-0.016410327,-0.0055854013,0.86266965,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33238599,0.5053959,-0.016414015,-0.0055886023,0.8627134,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33283700,0.50534517,-0.016399633,-0.0055995737,0.8627434,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33338824,0.50528795,-0.016395317,-0.0056292415,0.8627768,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33388937,0.5052385,-0.016378907,-0.00563922,0.86280596,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33439052,0.505187,-0.016379524,-0.0056308554,0.8628361,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33489163,0.5051423,-0.016394395,-0.0056027235,0.8628623,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33539276,0.5051126,-0.016403727,-0.005598022,0.8628795,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33589389,0.50507265,-0.016408967,-0.0056087803,0.8629026,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33634490,0.5050363,-0.016388906,-0.0056298217,0.8629242,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33689633,0.50499636,-0.016368067,-0.005637,0.8629479,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33739731,0.504955,-0.016354328,-0.0056325537,0.8629724,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33784829,0.5049216,-0.016368387,-0.0056190584,0.86299175,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33839953,0.504889,-0.016362814,-0.0056048073,0.863011,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33890066,0.50483406,-0.016360328,-0.0056085177,0.8630432,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33935169,0.50479794,-0.016346183,-0.0056091608,0.8630645,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
33985284,0.5047667,-0.016360827,-0.0056330683,0.86308247,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34040404,0.5047311,-0.016359137,-0.005615781,0.8631034,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34085506,0.5047021,-0.016372696,-0.0056031006,0.8631202,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34135619,0.5046639,-0.016374331,-0.00558541,0.8631425,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34185736,0.5046435,-0.016381918,-0.0056028636,0.86315435,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
