timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
32435209,32434586,-0.22958213,-0.0072757606,0.11122251,0.96688616,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32490120,32489533,-0.22942083,-0.0069687106,0.11120765,0.96692836,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32540075,32539485,-0.22928117,-0.007007211,0.111257896,0.9669554,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32590036,32589437,-0.2291596,-0.0066630333,0.11121251,0.9669919,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32639976,32639392,-0.22897352,-0.0066966643,0.11132447,0.96702284,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32689935,32689340,-0.22877571,-0.0066652955,0.11146552,0.96705365,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32739882,32739292,-0.22863743,-0.00653055,0.11155414,0.9670771,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32784847,32784248,-0.22848071,-0.0062905354,0.11137231,0.9671367,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32839784,32839196,-0.22834404,-0.0059986813,0.11134826,0.9671735,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32889743,32889147,-0.22820921,-0.0061342316,0.111586675,0.96717703,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32939695,32939099,-0.22804452,-0.0060535935,0.11152517,0.9672235,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
32989726,32989051,-0.22790606,-0.0059081423,0.111655876,0.967242,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33039592,33039002,-0.22780998,-0.00551666,0.111351304,0.967302,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33089555,33088954,-0.22774217,-0.0053760954,0.111544475,0.9672965,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33139514,33138906,-0.22753137,-0.0054260488,0.11155353,0.9673448,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33189455,33188857,-0.22753946,-0.005296579,0.11165239,0.96733224,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33239511,33238815,-0.22736867,-0.0051688566,0.111662164,0.96737194,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33289416,33288761,-0.2274794,-0.004887604,0.11149865,0.96736616,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33339310,33338712,-0.22733256,-0.004993343,0.111852735,0.9673593,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33389247,33388664,-0.22737725,-0.0048750467,0.11179014,0.9673567,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33439213,33438616,-0.22738872,-0.0045671193,0.11158669,0.967379,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33489152,33488567,-0.22729129,-0.004362264,0.111772604,0.96738136,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
