timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
82870977,27859606,-23.5560247,-46.730224299999996,1.6085919,-0.8796247,0.18688653,-0.006160215,0.0002531406,0.0,-0.010677469,0.011367035,-0.00044857495,-0.017966283,-0.0015272251,-0.006092711,-0.008091494,-0.002400097,0.01977898,-0.008408692,1.8900374,-0.010638339,720.35876,0.1,0.2540045,0.39109382,0.13277619,0.10628642,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
82981230,27859606,-23.5560247,-46.730224299999996,1.6064354,-0.8774376,0.18514298,-0.006160215,0.0002531406,0.0,-0.010420888,0.011721167,-0.00061004487,-0.017722454,-0.0015272251,-0.006092711,-0.008091494,-0.02174891,-0.02899003,-0.023991317,1.8901577,-0.010638339,720.35876,0.10073812,0.24609461,0.38926172,0.12873834,0.1050027,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83071437,27859606,-23.5560247,-46.730224299999996,1.6047245,-0.8755362,0.18417972,-0.006160215,0.0002531406,0.0,-0.0098553095,0.012795685,-0.00073786196,-0.01706199,-0.0015272251,-0.006092711,-0.008091494,0.02365409,0.00539709,0.0016084376,1.8903046,-0.010638339,720.35876,0.10117367,0.25405282,0.39287427,0.1328062,0.10648954,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83171667,27859606,-23.5560247,-46.730224299999996,1.6027895,-0.87376636,0.18306951,-0.006160215,0.0002531406,0.0,-0.009198175,0.013612202,-0.0006663671,-0.016227756,-0.0015272251,-0.006092711,-0.008091494,0.0014101535,-0.0017849313,-0.007862022,1.8905092,-0.010638339,720.35876,0.10204123,0.24513976,0.39034352,0.12821631,0.104990594,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83271900,27859606,-23.5560247,-46.730224299999996,1.6010023,-0.8722559,0.183086,-0.006160215,0.0002531406,0.0,-0.00895217,0.013466673,0.00032894034,-0.013523957,-0.0015272251,-0.006092711,-0.008091494,0.0140218595,-0.006941827,0.010427962,1.8907061,-0.010638339,720.35876,0.10393141,0.25394753,0.3921904,0.13272986,0.10640708,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83372127,27859606,-23.5560247,-46.730224299999996,1.5994215,-0.8698702,0.18319151,-0.006160215,0.0002531406,0.0,-0.008510857,0.01426229,0.0010071994,-0.011363863,-0.0015272251,-0.006092711,-0.008091494,0.001470776,0.022180978,0.01589908,1.8908895,-0.010638339,720.35876,0.101376444,0.24524684,0.3896769,0.12832893,0.10493611,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83472353,27859606,-23.5560247,-46.730224299999996,1.5980865,-0.867421,0.18271364,-0.006160215,0.0002531406,0.0,-0.0083330115,0.015047062,0.00076452346,-0.010901943,-0.0015272251,-0.006092711,-0.008091494,-0.014584428,-0.0065085283,-0.02289512,1.8910831,-0.010638339,720.35876,0.10309221,0.25406805,0.39151308,0.13284385,0.106349476,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83572587,27859606,-23.5560247,-46.730224299999996,1.5966707,-0.86457926,0.18399502,-0.006160215,0.0002531406,0.0,-0.007701234,0.016021272,0.0009580499,-0.008343432,-0.0015272251,-0.006092711,-0.008091494,-0.008666708,0.008563269,-0.0059990045,1.891232,-0.010638339,720.35876,0.10546373,0.24524908,0.38901132,0.12833297,0.10486891,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83672817,27859606,-23.5560247,-46.730224299999996,1.595443,-0.86170363,0.1853763,-0.006160215,0.0002531406,0.0,-0.0069488594,0.017477676,0.0017729319,-0.005408995,-0.0015272251,-0.006092711,-0.008091494,0.009711715,0.017028013,0.0055292654,1.8913846,-0.010638339,720.35876,0.10319592,0.2540718,0.39083618,0.13285284,0.10627907,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83773048,27859606,-23.5560247,-46.730224299999996,1.5940975,-0.8583835,0.1858184,-0.006160215,0.0002531406,0.0,-0.006796489,0.018216133,0.0022355535,-0.004025646,-0.0015272251,-0.006092711,-0.008091494,0.008821114,-0.008429212,0.006700184,1.891539,-0.010638339,720.35876,0.10218641,0.24525197,0.3907664,0.12834117,0.10506386,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
