timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
589522791,589521886,159444046,-23.5560083,-46.73010370000001,0.40421438,-0.9116497,-2.8617527,0.00059244025,-0.004986074,0.0,0.020241091,-0.00069089193,-0.018833421,-0.035430577,0.010183221,-0.022645034,-0.026750553,0.2960417,-0.06513616,0.21476689,-1.1724137,-0.011911286,721.53467,0.10010815,0.27350596,0.39061874,0.1321132,0.10550982,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589632739,589631770,159444046,-23.5560083,-46.73010370000001,0.4053188,-0.9120179,-2.8657205,0.00059244025,-0.004986074,0.0,0.020048507,-0.0030155673,-0.019728625,-0.036028985,0.010183221,-0.022645034,-0.026750553,-0.44401148,-0.19986059,0.45579505,-1.1723309,-0.011911286,721.53467,0.102036715,0.28319263,0.39316452,0.13708118,0.10714462,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589722595,589721676,159444046,-23.5560083,-46.73010370000001,0.40699485,-0.91242576,-2.869494,0.00059244025,-0.004986074,0.0,0.016453104,-0.0042619,-0.023484118,-0.03995989,0.010183221,-0.022645034,-0.026750553,-0.48103112,-0.6914469,0.103528015,-1.1722174,-0.011911286,721.53467,0.10062742,0.2738213,0.389939,0.13214584,0.10543913,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589832961,589831560,159444046,-23.5560083,-46.73010370000001,0.409141,-0.913134,-2.8739526,0.00059244025,-0.004986074,0.0,0.01924522,-0.003969771,-0.02619495,-0.042431355,0.010183221,-0.022645034,-0.026750553,0.5072362,0.01418378,0.08776246,-1.1722267,-0.011911286,721.53467,0.10266471,0.28351614,0.39247224,0.13711345,0.10707066,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
589922365,589921466,159444046,-23.5560083,-46.73010370000001,0.40918976,-0.9134886,-2.877384,0.00059244025,-0.004986074,0.0,0.016015217,-0.0043021482,-0.02836653,-0.044048585,0.010183221,-0.022645034,-0.026750553,-0.38217127,0.20552038,-0.17657727,-1.1723406,-0.011911286,721.53467,0.10363722,0.2741596,0.38926774,0.13217647,0.105369896,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590032451,590031350,159444046,-23.5560083,-46.73010370000001,0.40897867,-0.9140139,-2.881492,0.00059244025,-0.004986074,0.0,0.014770925,-0.0065055946,-0.03153362,-0.046221703,0.010183221,-0.022645034,-0.026750553,0.33099857,-0.18457629,-0.029292952,-1.1720268,-0.011911286,721.53467,0.10480285,0.2838622,0.39178857,0.1371465,0.106998,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590132540,590131245,159444046,-23.5560083,-46.73010370000001,0.4074053,-0.91409385,-2.8846145,0.00059244025,-0.004986074,0.0,0.0110133365,-0.0057518054,-0.038589556,-0.05139724,0.010183221,-0.022645034,-0.026750553,-0.3126448,0.22146043,-0.1722076,-1.1720436,-0.011911286,721.53467,0.10820007,0.2752585,0.389247,0.13257335,0.10548081,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590232831,590231140,159444046,-23.5560083,-46.73010370000001,0.4056638,-0.9142715,-2.8880394,0.00059244025,-0.004986074,0.0,0.012243362,-0.008789489,-0.04170058,-0.052592687,0.010183221,-0.022645034,-0.026750553,0.38939774,0.08317409,0.028569505,-1.172366,-0.011911286,721.53467,0.10844135,0.28410155,0.39356187,0.13710949,0.10718516,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590332418,590331035,159444046,-23.5560083,-46.73010370000001,0.40386608,-0.9135252,-2.8898067,0.00059244025,-0.004986074,0.0,0.011186096,-0.009783776,-0.04241535,-0.049700603,0.010183221,-0.022645034,-0.026750553,0.546183,-0.1559097,0.13303867,-1.1724443,-0.011911286,721.53467,0.114385605,0.27552792,0.39099297,0.13255998,0.105661765,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590432000,590430930,159444046,-23.5560083,-46.73010370000001,0.40232188,-0.91272044,-2.8915784,0.00059244025,-0.004986074,0.0,0.0049527828,-0.009492192,-0.04540214,-0.04942861,0.010183221,-0.022645034,-0.026750553,0.15322907,-0.38302842,0.05227786,-1.1722794,-0.011911286,721.53467,0.11237407,0.28436843,0.39286602,0.13707204,0.107098676,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590531780,590530824,159444046,-23.5560083,-46.73010370000001,0.39931402,-0.9115214,-2.8914733,0.00059244025,-0.004986074,0.0,0.0018745012,-0.006627187,-0.04868571,-0.04762345,0.010183221,-0.022645034,-0.026750553,0.13178638,-0.09357664,0.07181881,-1.1723152,-0.011911286,721.53467,0.119689226,0.27582115,0.3903174,0.13253099,0.10558119,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590621652,590620733,159444046,-23.5560083,-46.73010370000001,0.39656496,-0.91057813,-2.8918283,0.00059244025,-0.004986074,0.0,0.004937071,-0.008325896,-0.051276717,-0.04632631,0.010183221,-0.022645034,-0.026750553,0.7565789,-0.20043136,-0.13987891,-1.1723363,-0.011911286,721.53467,0.11648631,0.28375173,0.39149663,0.13660318,0.10681674,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
