timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
140070806,0,800000.0,0.05,0.0,0.0,0.80024457,0,0,0,0,4,5,0,0,0,1,44
140563740,139551813,1200.0,0.40324232,0.050630193,0.6333738,0.0,255,190,6,4,1,0,1,1,0,1,36
140613664,140607596,1200.0,0.40324232,0.050630193,0.6333738,0.0,255,190,6,4,1,0,1,1,0,1,36
141072775,0,800000.0,0.05,0.0,0.0,0.75296986,0,0,0,0,4,5,0,0,0,1,44
141531279,141523565,1200.0,0.40324232,0.050898302,0.5728554,0.0,255,190,6,4,1,0,1,1,0,1,36
142074584,0,800000.0,0.05,0.0,0.0,0.70933163,0,0,0,0,4,5,0,0,0,1,44
142541692,141523565,1200.0,0.40324232,0.05054549,0.43806094,0.0,255,190,6,4,1,0,1,1,0,1,36
142551648,142546516,1200.0,0.40324232,0.05054549,0.43806094,0.0,255,190,6,4,1,0,1,1,0,1,36
143079747,0,800000.0,0.05,0.0,0.0,0.84472275,0,0,0,0,4,5,0,0,0,1,44
143554812,142546516,1200.0,0.40324232,0.050492898,0.5593821,0.0,255,190,6,4,1,0,1,1,0,1,36
143594777,143594562,1200.0,0.40324232,0.050492898,0.5593821,0.0,255,190,6,4,1,0,1,1,0,1,36
144079799,0,800000.0,0.05,0.0,0.0,0.7078796,0,0,0,0,4,5,0,0,0,1,44
144516833,144508633,1200.0,0.40324232,0.07272807,0.46227154,0.0,255,190,6,4,1,0,1,1,0,1,36
145079806,0,800000.0,0.05,0.0,0.0,0.7659915,0,0,0,0,4,5,0,0,0,1,44
145525628,144508633,1200.0,0.40324232,0.050626524,0.6333279,0.0,255,190,6,4,1,0,1,1,0,1,36
145546745,145538489,1200.0,0.40324232,0.050626524,0.6333279,0.0,255,190,6,4,1,0,1,1,0,1,36
146080900,0,800000.0,0.05,0.0,0.0,0.7671155,0,0,0,0,4,5,0,0,0,1,44
146555778,145538489,1200.0,0.40324232,0.05066792,0.57026243,0.0,255,190,6,4,1,0,1,1,0,1,36
146597819,146592922,1200.0,0.40324232,0.05066792,0.57026243,0.0,255,190,6,4,1,0,1,1,0,1,36
147083930,0,800000.0,0.05,0.0,0.0,0.7987244,0,0,0,0,4,5,0,0,0,1,44
147514837,147506488,1200.0,0.40324232,0.05079681,0.45418325,0.0,255,190,6,4,1,0,1,1,0,1,36
148085834,0,800000.0,0.05,0.0,0.0,0.7522853,0,0,0,0,4,5,0,0,0,1,44
148516213,147506488,1200.0,0.40324232,0.050846744,0.5413683,0.0,255,190,6,4,1,0,1,1,0,1,36
148536664,148533568,1200.0,0.40324232,0.050846744,0.5413683,0.0,255,190,6,4,1,0,1,1,0,1,36
149086238,0,800000.0,0.05,0.0,0.0,0.7109779,0,0,0,0,4,5,0,0,0,1,44
149536761,148533568,1200.0,0.40324232,0.050590817,0.41067842,0.0,255,190,6,4,1,0,1,1,0,1,36
