timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
676248520,1.2444266,-0.9619154,-0.74465907
676270476,1.2444222,-0.96192497,-0.7443779
676292511,1.2444222,-0.96192497,-0.7443779
676314468,1.2444222,-0.96192497,-0.7443779
676336523,1.2430034,-0.9619154,-0.7446818
676357562,1.2437106,-0.96192497,-0.7443893
676378482,1.2437062,-0.9621709,-0.7441162
676399534,1.2444178,-0.9621709,-0.74410486
676422478,1.2444177,-0.96193457,-0.7440968
676445553,1.2437108,-0.9621613,-0.74439734
676467546,1.2444222,-0.96192497,-0.7443779
676489597,1.2444266,-0.9619154,-0.74465907
676511539,1.2444267,-0.9621517,-0.7446671
676533528,1.2444223,-0.9621613,-0.744386
676555533,1.2437062,-0.9621709,-0.7441162
676581740,1.2430035,-0.9621517,-0.7446898
676603729,1.2437062,-0.9621709,-0.7441162
676626471,1.2444223,-0.9621613,-0.744386
676648531,1.2444222,-0.96192497,-0.7443779
676671530,1.2437196,-0.9619058,-0.74495155
676693552,1.243715,-0.9619154,-0.7446704
676715531,1.2444311,-0.9619058,-0.7449402
676737767,1.2444222,-0.96192497,-0.7443779
676760529,1.2437152,-0.9621517,-0.7446785
676782469,1.2437108,-0.9621613,-0.74439734
676805622,1.2436973,-0.9621901,-0.7435539
676829560,1.243715,-0.9619154,-0.7446704
676852518,1.2451291,-0.96193457,-0.74408543
676873818,1.2437061,-0.96193457,-0.74410814
676896540,1.2444222,-0.96192497,-0.7443779
676918482,1.2444222,-0.96192497,-0.7443779
676941603,1.2444222,-0.96192497,-0.7443779
676966046,1.243715,-0.9619154,-0.7446704
676986832,1.2444133,-0.9621805,-0.74382365
677007575,1.2437062,-0.9621709,-0.7441162
677029807,1.2437061,-0.96193457,-0.74410814
677051580,1.2444266,-0.9619154,-0.74465907
677073806,1.2437061,-0.96193457,-0.74410814
677095581,1.2437016,-0.96194416,-0.7438269
677117802,1.2444222,-0.96192497,-0.7443779
677139584,1.2429991,-0.9621613,-0.74440867
677163007,1.2437062,-0.9621709,-0.7441162
677184518,1.2437062,-0.9621709,-0.7441162
677206011,1.2444311,-0.9619058,-0.7449402
677228518,1.2444177,-0.96193457,-0.7440968
677250489,1.2444178,-0.9621709,-0.74410486
677272527,1.2444311,-0.9619058,-0.7449402
677295040,1.2444311,-0.9619058,-0.7449402
677319543,1.2437106,-0.96192497,-0.7443893
677343042,1.2437062,-0.9621709,-0.7441162
677367010,1.2437018,-0.9624168,-0.7438431
677388476,1.2437062,-0.9621709,-0.7441162
677411750,1.2436973,-0.9621901,-0.7435539
677435310,1.2444177,-0.96193457,-0.7440968
677457551,1.2444266,-0.9619154,-0.74465907
677480564,1.2437062,-0.9621709,-0.7441162
677501596,1.2444222,-0.96192497,-0.7443779
677523391,1.2444177,-0.96193457,-0.7440968
677543583,1.2437108,-0.9621613,-0.74439734
677567004,1.2437063,-0.96240723,-0.7441243
677588541,1.2436883,-0.9622093,-0.74299157
677610470,1.2437017,-0.9621805,-0.74383503
677632521,1.2444222,-0.96192497,-0.7443779
677655981,1.2437061,-0.96193457,-0.74410814
677677528,1.2437196,-0.9619058,-0.74495155
677698470,1.2444266,-0.9619154,-0.74465907
677721527,1.2430035,-0.9621517,-0.7446898
677743801,1.2436928,-0.9621997,-0.74327266
677767795,1.2437017,-0.9621805,-0.74383503
677791987,1.2437062,-0.9621709,-0.7441162
677812567,1.2444178,-0.9621709,-0.74410486
677833597,1.2444266,-0.9619154,-0.74465907
677856518,1.2429944,-0.96193457,-0.74411947
677880519,1.2444222,-0.96192497,-0.7443779
677902471,1.244431,-0.9616693,-0.7449321
677923592,1.243715,-0.9619154,-0.7446704
677945602,1.2429857,-0.9624264,-0.7435733
677968624,1.2437062,-0.9621709,-0.7441162
677990474,1.2444177,-0.96193457,-0.7440968
678011591,1.2444222,-0.96192497,-0.7443779
678034468,1.2444222,-0.96192497,-0.7443779
678056616,1.2437106,-0.96192497,-0.7443893
678080603,1.2444131,-0.96194416,-0.7438156
678104766,1.2444266,-0.9619154,-0.74465907
678127533,1.2437106,-0.96192497,-0.7443893
678149564,1.2437017,-0.9621805,-0.74383503
678171532,1.2436973,-0.9621901,-0.7435539
678193803,1.2444177,-0.96193457,-0.7440968
678215532,1.2444222,-0.96192497,-0.7443779
678238474,1.243715,-0.9619154,-0.7446704
678259533,1.2437106,-0.96192497,-0.7443893
678280518,1.2444311,-0.9619058,-0.7449402
678301803,1.2437152,-0.9621517,-0.7446785
678324539,1.2437017,-0.9621805,-0.74383503
678346578,1.2437108,-0.9621613,-0.74439734
678369800,1.2437061,-0.96193457,-0.74410814
678392570,1.2444177,-0.96193457,-0.7440968
678416510,1.2444177,-0.96193457,-0.7440968
678439025,1.2444222,-0.96192497,-0.7443779
678460518,1.2444131,-0.96194416,-0.7438156
678483387,1.2444177,-0.96193457,-0.7440968
678504519,1.2437108,-0.9621613,-0.74439734
678526999,1.2437017,-0.9621805,-0.74383503
678548468,1.2437061,-0.96193457,-0.74410814
678571431,1.2444223,-0.9621613,-0.744386
678593563,1.2437061,-0.96193457,-0.74410814
678615930,1.2444177,-0.96193457,-0.7440968
678639805,1.2437108,-0.9621613,-0.74439734
678663528,1.2437106,-0.96192497,-0.7443893
678685550,1.2437149,-0.9616789,-0.74466234
678707527,1.2437062,-0.9621709,-0.7441162
678729557,1.2437018,-0.9624168,-0.7438431
678752637,1.2429811,-0.9621997,-0.74328405
678774477,1.2444088,-0.9621901,-0.74354255
678797568,1.2444222,-0.96192497,-0.7443779
678818470,1.2444222,-0.96192497,-0.7443779
678839533,1.2437106,-0.96192497,-0.7443893
678861527,1.2437106,-0.96192497,-0.7443893
678882468,1.2437108,-0.9621613,-0.74439734
678902524,1.2437062,-0.9621709,-0.7441162
678924566,1.2444311,-0.9619058,-0.7449402
678947534,1.2444222,-0.96192497,-0.7443779
678969813,1.2437149,-0.9616789,-0.74466234
678992517,1.2444178,-0.9621709,-0.74410486
679014517,1.2444266,-0.9619154,-0.74465907
679037803,1.2444223,-0.9621613,-0.744386
679059528,1.2437109,-0.96239763,-0.7444054
679081821,1.2429945,-0.9621709,-0.7441276
679103586,1.2437062,-0.9621709,-0.7441162
679126483,1.2437061,-0.96193457,-0.74410814
679148523,1.2444311,-0.9619058,-0.7449402
679169805,1.2444266,-0.9619154,-0.74465907
679192518,1.2437106,-0.96192497,-0.7443893
679215005,1.2437108,-0.9621613,-0.74439734
679238999,1.2429944,-0.96193457,-0.74411947
679262981,1.2437062,-0.9621709,-0.7441162
679284469,1.2437062,-0.9621709,-0.7441162
679307347,1.2444311,-0.9619058,-0.7449402
679328518,1.2437061,-0.96193457,-0.74410814
679350997,1.2437106,-0.96192497,-0.7443893
679374979,1.2444222,-0.96192497,-0.7443779
679396522,1.2437108,-0.9621613,-0.74439734
679417555,1.2444266,-0.9619154,-0.74465907
679440509,1.2437108,-0.9621613,-0.74439734
679463022,1.2437062,-0.9621709,-0.7441162
679487533,1.2437016,-0.96194416,-0.7438269
679511055,1.2437062,-0.9621709,-0.7441162
679532616,1.2444177,-0.96193457,-0.7440968
679553597,1.2444266,-0.9619154,-0.74465907
679574520,1.2444222,-0.96192497,-0.7443779
679596381,1.2437061,-0.96193457,-0.74410814
679616572,1.2437061,-0.96193457,-0.74410814
679638468,1.2437108,-0.9621613,-0.74439734
